,division,assembly,bioproject,organism_name,infraspecific_name,#assembly_accession,genome_size,fasta_filename,downloaded_filename,query_length,subject_length,blast_output,n_of_-7,n_of_-6,n_of_-5,n_of_-4,n_of_-3,n_of_-2,n_of_-1,n_of_0,n_of_1,n_of_2,n_of_3,n_of_4,n_of_5,n_of_6,n_of_7,binary_filename
,1230383,GCA_000349305.2,PRJNA264005,Malassezia sympodialis ATCC 42132,strain=ATCC 42132,GCF_000349305.1,7669689,Malassezia_sympodialis_atcc_42132_gca_000349305.ASM34930v2.dna.toplevel.fa,GCF_000349305.1_ASM34930v2_genomic.fna.gz, 7669689, 7669689,Malassezia_sympodialis_atcc_42132_gca_000349305.ASM34930v2.dna.toplevel.fa_vs_GCF_000349305.1_ASM34930v2_genomic.fna_blast.xml,0,0,2,1,0,0,1,14790,7654772,0,1,16,106,0,0,Malassezia_sympodialis_atcc_42132_gca_000349305_subject_array_1753406175.bin
,1230383,GCA_900149145.1,PRJNA264005,Malassezia sympodialis ATCC 42132,strain=ATCC 42132,GCF_000349305.1,7669689,Malassezia_sympodialis_atcc_42132_gca_900149145.Msy_ATCC_42132_Feb2016.dna.toplevel.fa,GCF_000349305.1_ASM34930v2_genomic.fna.gz, 7786082, 7669689,Malassezia_sympodialis_atcc_42132_gca_900149145.Msy_ATCC_42132_Feb2016.dna.toplevel.fa_vs_GCF_000349305.1_ASM34930v2_genomic.fna_blast.xml,0,0,56,7,0,0,28,14872,3047878,0,67,398,4606303,0,80,Malassezia_sympodialis_atcc_42132_gca_900149145_subject_array_1753406178.bin
,1231522,GCA_002926085.1,PRJNA479899,Candidozyma duobushaemuli,strain=B09383,GCF_002926085.2,12557957,Candida_duobushaemulonis.GCA002926085v1.dna.toplevel.fa,GCF_002926085.2_CanDuoHae_v1.0_genomic.fna.gz, 12580400, 12580400,Candida_duobushaemulonis.GCA002926085v1.dna.toplevel.fa_vs_GCF_002926085.2_CanDuoHae_v1.0_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,12580400,0,0,0,0,0,0,Candida_duobushaemulonis_subject_array_1753406182.bin
,1245769,GCA_000938715.1,PRJNA413304,Lachancea lanzarotensis,strain=CBS 12615,GCF_000938715.1,11092131,Lachancea_lanzarotensis_gca_000938715.LALA0.dna.toplevel.fa,GCF_000938715.1_LALA0_genomic.fna.gz, 11092131, 11092131,Lachancea_lanzarotensis_gca_000938715.LALA0.dna.toplevel.fa_vs_GCF_000938715.1_LALA0_genomic.fna_blast.xml,0,0,0,0,0,0,0,371,11091760,0,0,0,0,0,0,Lachancea_lanzarotensis_gca_000938715_subject_array_1753406187.bin
,1263415,GCA_000464535.1,PRJNA245134,Endocarpon pusillum Z07020,strain=Z07020,GCF_000464535.1,37130611,Endocarpon_pusillum_z07020_gca_000464535.EPUS.dna.toplevel.fa,GCF_000464535.1_EPUS_genomic.fna.gz, 37130611, 37130611,Endocarpon_pusillum_z07020_gca_000464535.EPUS.dna.toplevel.fa_vs_GCF_000464535.1_EPUS_genomic.fna_blast.xml,0,0,22,3,0,0,106,347564,36778714,0,126,819,3242,0,15,Endocarpon_pusillum_z07020_gca_000464535_subject_array_1753406231.bin
,1277687,GCA_000417875.1,PRJNA245148,Pseudozyma flocculosa PF-1,strain=PF-1,GCF_000417875.1,23305380,Anthracocystis_flocculosa_pf_1_gca_000417875.Pflocc_1.0.dna.toplevel.fa,GCF_000417875.1_Pflocc_1.0_genomic.fna.gz, 23305380, 23305380,Anthracocystis_flocculosa_pf_1_gca_000417875.Pflocc_1.0.dna.toplevel.fa_vs_GCF_000417875.1_Pflocc_1.0_genomic.fna_blast.xml,0,0,1,1,0,0,7,335955,22969247,0,2,26,138,0,3,Anthracocystis_flocculosa_pf_1_gca_000417875_subject_array_1753406241.bin
,1279043,GCA_000365165.2,PRJNA245126,Cladophialophora carrionii CBS 160.54,strain=CBS 160.54,GCF_000365165.1,28991111,Cladophialophora_carrionii_cbs_160_54_gca_000365165.Clad_carr_CBS_160_54_V1.dna.toplevel.fa,GCF_000365165.1_Clad_carr_CBS_160_54_V1_genomic.fna.gz, 28991111, 28991111,Cladophialophora_carrionii_cbs_160_54_gca_000365165.Clad_carr_CBS_160_54_V1.dna.toplevel.fa_vs_GCF_000365165.1_Clad_carr_CBS_160_54_V1_genomic.fna_blast.xml,0,0,0,0,0,0,0,10595,28980513,0,0,0,3,0,0,Cladophialophora_carrionii_cbs_160_54_gca_000365165_subject_array_1753406251.bin
,1280837,GCA_003144205.1,PRJNA479903,Meira miltonrushii,strain=MCA 3882,GCF_003144205.1,17383515,Meira_miltonrushii_gca_003144205.Meimi1.dna.toplevel.fa,GCF_003144205.1_Meimi1_genomic.fna.gz, 17383515, 17383515,Meira_miltonrushii_gca_003144205.Meimi1.dna.toplevel.fa_vs_GCF_003144205.1_Meimi1_genomic.fna_blast.xml,0,0,4,1,0,0,3,102657,17280161,0,0,83,598,0,8,Meira_miltonrushii_gca_003144205_subject_array_1753406258.bin
,1286976,GCA_000392275.1,PRJNA245153,Phaeoacremonium minimum UCRPA7,strain=UCRPA7,GCF_000392275.1,47465449,Phaeoacremonium_minimum_ucrpa7_gca_000392275.UCRPA7V03.dna.toplevel.fa,GCF_000392275.1_UCRPA7V03_genomic.fna.gz, 47465449, 47465449,Phaeoacremonium_minimum_ucrpa7_gca_000392275.UCRPA7V03.dna.toplevel.fa_vs_GCF_000392275.1_UCRPA7V03_genomic.fna_blast.xml,0,0,4,4,0,0,50,81087,47381498,0,44,686,2072,0,4,Phaeoacremonium_minimum_ucrpa7_gca_000392275_subject_array_1753406278.bin
,1295528,GCA_001720155.1,PRJNA352843,Cryptococcus wingfieldii CBS 7118,strain=CBS 7118,GCF_001720155.1,19969799,Cryptococcus_wingfieldii_cbs_7118_gca_001720155.Tsuc_wing_CBS7118_V1.dna.toplevel.fa,GCF_001720155.1_Tsuc_wing_CBS7118_V1_genomic.fna.gz, 19969799, 19969799,Cryptococcus_wingfieldii_cbs_7118_gca_001720155.Tsuc_wing_CBS7118_V1.dna.toplevel.fa_vs_GCF_001720155.1_Tsuc_wing_CBS7118_V1_genomic.fna_blast.xml,0,0,1,1,0,0,0,75025,19894577,0,1,38,156,0,0,Cryptococcus_wingfieldii_cbs_7118_gca_001720155_subject_array_1753406287.bin
,1295533,GCA_001720205.1,PRJNA352837,Cryptococcus amylolentus CBS 6039,strain=CBS 6039,GCF_001720205.1,20254996,Cryptococcus_amylolentus_cbs_6039_gca_001720205.Cryp_amyl_CBS6039_V3.dna.toplevel.fa,GCF_001720205.1_Cryp_amyl_CBS6039_V3_genomic.fna.gz, 20254996, 20254996,Cryptococcus_amylolentus_cbs_6039_gca_001720205.Cryp_amyl_CBS6039_V3.dna.toplevel.fa_vs_GCF_001720205.1_Cryp_amyl_CBS6039_V3_genomic.fna_blast.xml,0,0,0,0,0,0,5,1051,20253934,0,0,0,6,0,0,Cryptococcus_amylolentus_cbs_6039_gca_001720205_subject_array_1753406295.bin
,1296105,GCA_000835755.1,PRJNA1140275,Cryptococcus tetragattii IND107,strain=IND107,GCF_000835755.1,17799622,Cryptococcus_gattii_vgiv_ind107_gca_000835755.Cryp_gatt_IND107_V2.dna.toplevel.fa,GCF_000835755.1_ASM83575v2_genomic.fna.gz, 17649378, 17799622,Cryptococcus_gattii_vgiv_ind107_gca_000835755.Cryp_gatt_IND107_V2.dna.toplevel.fa_vs_GCF_000835755.1_ASM83575v2_genomic.fna_blast.xml,0,0,170,31,0,0,173,150241,9773068,0,573,5511,7869477,0,378,Cryptococcus_gattii_vgiv_ind107_gca_000835755_subject_array_1753406302.bin
,1296122,GCA_000507465.3,PRJNA352839,Kwoniella mangroviensis CBS 8507,strain=CBS 8507,GCF_000507465.2,22796923,Kwoniella_mangroviensis_cbs_8507_gca_000507465.Kwon_mang_CBS8507_V2.dna.toplevel.fa,GCF_000507465.2_ASM50746v4_genomic.fna.gz, 22654511, 22796923,Kwoniella_mangroviensis_cbs_8507_gca_000507465.Kwon_mang_CBS8507_V2.dna.toplevel.fa_vs_GCF_000507465.2_ASM50746v4_genomic.fna_blast.xml,0,0,311,24,0,0,581,172919,15889988,0,179,2194,6730611,0,116,Kwoniella_mangroviensis_cbs_8507_gca_000507465_subject_array_1753406311.bin
,1299270,GCA_000400465.1,PRJNA215734,Wallemia ichthyophaga EXF-994,strain=EXF-994,GCF_000400465.1,9655632,Wallemia_ichthyophaga_exf_994_gca_000400465.Wallemia_ichthyophaga_version_1.0.dna.toplevel.fa,GCF_000400465.1_Wallemia_ichthyophaga_version_1.0_genomic.fna.gz, 9655632, 9655632,Wallemia_ichthyophaga_exf_994_gca_000400465.Wallemia_ichthyophaga_version_1.0.dna.toplevel.fa_vs_GCF_000400465.1_Wallemia_ichthyophaga_version_1.0_genomic.fna_blast.xml,0,0,0,0,0,0,0,30891,9624740,0,0,1,0,0,0,Wallemia_ichthyophaga_exf_994_gca_000400465_subject_array_1753406315.bin
,1305764,GCA_000403515.1,PRJNA264001,Pseudozyma hubeiensis SY62,strain=SY62,GCF_000403515.1,18442938,Pseudozyma_hubeiensis_sy62_gca_000403515.ASM40351v1.dna.toplevel.fa,GCF_000403515.1_ASM40351v1_genomic.fna.gz, 18442938, 18442938,Pseudozyma_hubeiensis_sy62_gca_000403515.ASM40351v1.dna.toplevel.fa_vs_GCF_000403515.1_ASM40351v1_genomic.fna_blast.xml,0,0,0,0,0,0,7,7344,18435440,0,14,11,122,0,0,Pseudozyma_hubeiensis_sy62_gca_000403515_subject_array_1753406321.bin
,1314773,GCA_003711515.1,PRJNA531015,Sodiomyces alkalinus F11,strain=F11,GCF_003711515.1,43450096,Sodiomyces_alkalinus_f11_gca_003711515.Sodal1.dna.toplevel.fa,GCF_003711515.1_Sodal1_genomic.fna.gz, 43450096, 43450096,Sodiomyces_alkalinus_f11_gca_003711515.Sodal1.dna.toplevel.fa_vs_GCF_003711515.1_Sodal1_genomic.fna_blast.xml,0,0,16,2,0,0,6,301253,43144771,0,11,524,3499,0,14,Sodiomyces_alkalinus_f11_gca_003711515_subject_array_1753406607.bin
,1314785,GCA_001632365.1,PRJNA721992,Laetiporus sulphureus 93-53,strain=93-53,GCF_001632365.1,39909705,Laetiporus_sulphureus_93_53_gca_001632365.Laesu1.dna.toplevel.fa,GCF_001632365.1_Laesu1_genomic.fna.gz, 39909705, 39909705,Laetiporus_sulphureus_93_53_gca_001632365.Laesu1.dna.toplevel.fa_vs_GCF_001632365.1_Laesu1_genomic.fna_blast.xml,0,0,50,6,0,0,17,858036,39040578,0,32,1134,9814,0,38,Laetiporus_sulphureus_93_53_gca_001632365_subject_array_1753406662.bin
,1316194,GCA_001908125.1,PRJNA973687,Penicillium subrubescens,strain=IBT 31985,GCF_028828155.1,39968067,Penicillium_subrubescens_gca_001908125.ASM190812v1.dna.toplevel.fa,GCF_028828155.1_ASM2882815v1_genomic.fna.gz, 39803164, 39995047,Penicillium_subrubescens_gca_001908125.ASM190812v1.dna.toplevel.fa_vs_GCF_028828155.1_ASM2882815v1_genomic.fna_blast.xml,0,0,2733,249,1,0,2494,21470,18334892,0,4466,83655,21540862,0,4225,Penicillium_subrubescens_gca_001908125_subject_array_1753406690.bin
,1316788,GCA_007821495.1,PRJNA576247,Lachnellula hyalina,strain=CBS 185.66,GCF_007821495.1,33828344,Lachnellula_hyalina_gca_007821495.CFIA_Lhya_EG2017.dna.toplevel.fa,GCF_007821495.1_CFIA_Lhya_EG2017_genomic.fna.gz, 33828344, 33828344,Lachnellula_hyalina_gca_007821495.CFIA_Lhya_EG2017.dna.toplevel.fa_vs_GCF_007821495.1_CFIA_Lhya_EG2017_genomic.fna_blast.xml,0,0,1,0,0,0,5,420,33827805,0,16,82,15,0,0,Lachnellula_hyalina_gca_007821495_subject_array_1753406704.bin
,132259,GCA_009193445.1,PRJNA602439,Aspergillus pseudotamarii,strain=CBS 117625,GCF_009193445.1,38243929,Aspergillus_pseudotamarii_gca_009193445.Asppset1.dna.toplevel.fa,GCF_009193445.1_Asppset1_genomic.fna.gz, 38243929, 38243929,Aspergillus_pseudotamarii_gca_009193445.Asppset1.dna.toplevel.fa_vs_GCF_009193445.1_Asppset1_genomic.fna_blast.xml,0,0,0,0,0,0,0,21325,38222525,0,0,12,67,0,0,Aspergillus_pseudotamarii_gca_009193445_subject_array_1753406717.bin
,1328758,GCA_003813185.1,PRJNA1151046,Lentinus tigrinus ALCF2SS1-7,strain=ALCF2SS1-7,GCF_003813185.1,39530113,Lentinus_tigrinus_alcf2ss1_7_gca_003813185.Lenti7_1.dna.toplevel.fa,GCF_003813185.1_Lenti7_1_genomic.fna.gz, 39530113, 39530113,Lentinus_tigrinus_alcf2ss1_7_gca_003813185.Lenti7_1.dna.toplevel.fa_vs_GCF_003813185.1_Lenti7_1_genomic.fna_blast.xml,0,0,5,0,0,0,1,352010,39176936,0,0,95,1061,0,5,Lentinus_tigrinus_alcf2ss1_7_gca_003813185_subject_array_1753406734.bin
,1328760,GCA_001619985.1,PRJNA342690,Xylona heveae TC161,strain=TC161,GCF_001619985.1,24337763,Xylona_heveae_tc161_gca_001619985.Xylona_heveae_TC161_v1.0.dna.toplevel.fa,GCF_001619985.1_Xylona_heveae_TC161_v1.0_genomic.fna.gz, 24337763, 24337763,Xylona_heveae_tc161_gca_001619985.Xylona_heveae_TC161_v1.0.dna.toplevel.fa_vs_GCF_001619985.1_Xylona_heveae_TC161_v1.0_genomic.fna_blast.xml,0,0,0,0,0,0,0,18912,24318820,0,0,6,25,0,0,Xylona_heveae_tc161_gca_001619985_subject_array_1753406744.bin
,1340429,GCA_002708625.1,PRJNA430271,Rhizopus microsporus ATCC 52813,strain=ATCC 52813,GCF_002708625.1,25972395,Rhizopus_microsporus_atcc_52813_gca_002708625.Rhimi1_1.dna.toplevel.fa,GCF_002708625.1_Rhimi1_1_genomic.fna.gz, 25972395, 25972395,Rhizopus_microsporus_atcc_52813_gca_002708625.Rhimi1_1.dna.toplevel.fa_vs_GCF_002708625.1_Rhimi1_1_genomic.fna_blast.xml,0,0,10,1,0,0,6,621197,25349389,0,1,159,1629,0,3,Rhizopus_microsporus_atcc_52813_gca_002708625_subject_array_1753406760.bin
,1341132,GCA_003344945.1,PRJNA495497,Aspergillus welwitschiae,strain=CBS 139.54b,GCF_003344945.1,37511876,Aspergillus_welwitschiae_gca_003344945.Aspwel1.dna.toplevel.fa,GCF_003344945.1_Aspwel1_genomic.fna.gz, 37511876, 37511876,Aspergillus_welwitschiae_gca_003344945.Aspwel1.dna.toplevel.fa_vs_GCF_003344945.1_Aspwel1_genomic.fna_blast.xml,0,0,5,0,0,0,0,32175,37479074,0,1,78,535,0,8,Aspergillus_welwitschiae_gca_003344945_subject_array_1753406773.bin
,1344418,GCA_001661345.1,PRJNA374039,Ascoidea rubescens DSM 1968,strain=DSM 1968,GCF_001661345.1,17503998,Ascoidea_rubescens_dsm_1968_gca_001661345.Ascru1.dna.toplevel.fa,GCF_001661345.1_Ascru1_genomic.fna.gz, 17503998, 17503998,Ascoidea_rubescens_dsm_1968_gca_001661345.Ascru1.dna.toplevel.fa_vs_GCF_001661345.1_Ascru1_genomic.fna_blast.xml,0,0,0,0,0,0,0,45213,17458227,0,0,4,553,0,1,Ascoidea_rubescens_dsm_1968_gca_001661345_subject_array_1753406780.bin
,1354746,GCA_000803265.1,PRJNA302310,Ordospora colligata OC4,strain=OC4,GCF_000803265.1,2290528,Ordospora_colligata_oc4_gca_000803265.ASM80326v1.dna.toplevel.fa,GCF_000803265.1_ASM80326v1_genomic.fna.gz, 2290528, 2290528,Ordospora_colligata_oc4_gca_000803265.ASM80326v1.dna.toplevel.fa_vs_GCF_000803265.1_ASM80326v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,2290525,0,0,3,0,0,0,Ordospora_colligata_oc4_gca_000803265_subject_array_1753406781.bin
,1365824,GCA_000497045.1,PRJNA292598,Kalmanozyma brasiliensis GHG001,strain=GHG001,GCF_000497045.1,17325407,Kalmanozyma_brasiliensis_ghg001_gca_000497045.PSEUBRA1.dna.toplevel.fa,GCF_000497045.1_PSEUBRA1_genomic.fna.gz, 17325407, 17325407,Kalmanozyma_brasiliensis_ghg001_gca_000497045.PSEUBRA1.dna.toplevel.fa_vs_GCF_000497045.1_PSEUBRA1_genomic.fna_blast.xml,0,0,0,0,0,0,0,1431,17323935,0,2,2,37,0,0,Kalmanozyma_brasiliensis_ghg001_gca_000497045_subject_array_1753406787.bin
,1367422,GCA_001651985.1,PRJNA342681,Fonsecaea erecta,strain=CBS 125763,GCF_001651985.1,34747975,Fonsecaea_erecta_gca_001651985.ASM165198v1.dna.toplevel.fa,GCF_001651985.1_ASM165198v1_genomic.fna.gz, 34747975, 34747975,Fonsecaea_erecta_gca_001651985.ASM165198v1.dna.toplevel.fa_vs_GCF_001651985.1_ASM165198v1_genomic.fna_blast.xml,0,0,0,0,0,0,2,19276,34728581,0,4,15,96,0,1,Fonsecaea_erecta_gca_001651985_subject_array_1753406800.bin
,1380566,GCA_001653235.2,PRJNA342685,Pochonia chlamydosporia 170,na,GCF_001653235.2,44215803,Pochonia_chlamydosporia_170_gca_001653235.ASM165323v2.dna.toplevel.fa,GCF_001653235.2_ASM165323v2_genomic.fna.gz, 44215803, 44215803,Pochonia_chlamydosporia_170_gca_001653235.ASM165323v2.dna.toplevel.fa_vs_GCF_001653235.2_ASM165323v2_genomic.fna_blast.xml,0,0,0,0,0,0,0,22981,44192685,0,1,6,129,0,1,Pochonia_chlamydosporia_170_gca_001653235_subject_array_1753406820.bin
,1382522,GCA_000576695.1,PRJNA264007,Kuraishia capsulata CBS 1993,strain=CBS 1993,GCF_000576695.1,11371246,Kuraishia_capsulata_cbs_1993_gca_000576695.AUH_PRJEB4427_v1.dna.toplevel.fa,GCF_000576695.1_AUH_PRJEB4427_v1_genomic.fna.gz, 11371246, 11371246,Kuraishia_capsulata_cbs_1993_gca_000576695.AUH_PRJEB4427_v1.dna.toplevel.fa_vs_GCF_000576695.1_AUH_PRJEB4427_v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,33271,11337946,0,0,3,26,0,0,Kuraishia_capsulata_cbs_1993_gca_000576695_subject_array_1753406824.bin
,1388766,GCA_000600275.1,PRJNA721986,Aspergillus ruber CBS 135680,strain=CBS 135680,GCF_000600275.1,26209327,Aspergillus_ruber_cbs_135680_gca_000600275.Eurhe1.dna.toplevel.fa,GCF_000600275.1_Eurhe1_genomic.fna.gz, 26209327, 26209327,Aspergillus_ruber_cbs_135680_gca_000600275.Eurhe1.dna.toplevel.fa_vs_GCF_000600275.1_Eurhe1_genomic.fna_blast.xml,0,0,1,0,0,0,1,133079,26076007,0,0,22,216,0,1,Aspergillus_ruber_cbs_135680_gca_000600275_subject_array_1753406836.bin
,1392243,GCA_010015585.1,PRJNA625771,Eremomyces bilateralis CBS 781.70,strain=CBS 781.70,GCF_010015585.1,26864015,Eremomyces_bilateralis_cbs_781_70_gca_010015585.Erebi1.dna.toplevel.fa,GCF_010015585.1_Erebi1_genomic.fna.gz, 26864015, 26864015,Eremomyces_bilateralis_cbs_781_70_gca_010015585.Erebi1.dna.toplevel.fa_vs_GCF_010015585.1_Erebi1_genomic.fna_blast.xml,0,0,3,1,0,0,0,242241,26620998,0,0,88,680,0,4,Eremomyces_bilateralis_cbs_781_70_gca_010015585_subject_array_1753406849.bin
,1392245,GCA_010015815.1,PRJNA625770,Dothidotthia symphoricarpi CBS 119687,strain=CBS 119687,GCF_010015815.1,34433519,Dothidotthia_symphoricarpi_cbs_119687_gca_010015815.Dotsy1.dna.toplevel.fa,GCF_010015815.1_Dotsy1_genomic.fna.gz, 34433519, 34433519,Dothidotthia_symphoricarpi_cbs_119687_gca_010015815.Dotsy1.dna.toplevel.fa_vs_GCF_010015815.1_Dotsy1_genomic.fna_blast.xml,0,0,9,1,0,0,1,179527,34251490,0,1,102,2381,0,7,Dothidotthia_symphoricarpi_cbs_119687_gca_010015815_subject_array_1753406879.bin
,1392248,GCA_002847485.1,PRJNA453590,Aspergillus campestris IBT 28561,strain=IBT 28561,GCF_002847485.1,28257496,Aspergillus_campestris_ibt_28561_gca_002847485.Aspcam1.dna.toplevel.fa,GCF_002847485.1_Aspcam1_genomic.fna.gz, 28257496, 28257496,Aspergillus_campestris_ibt_28561_gca_002847485.Aspcam1.dna.toplevel.fa_vs_GCF_002847485.1_Aspcam1_genomic.fna_blast.xml,0,0,0,0,0,0,1,0,28257491,0,0,4,0,0,0,Aspergillus_campestris_ibt_28561_gca_002847485_subject_array_1753406891.bin
,1392250,GCA_002849105.1,PRJNA453591,Aspergillus steynii IBT 23096,strain=IBT 23096,GCF_002849105.1,37847960,Aspergillus_steynii_ibt_23096_gca_002849105.Aspste1.dna.toplevel.fa,GCF_002849105.1_Aspste1_genomic.fna.gz, 37847960, 37847960,Aspergillus_steynii_ibt_23096_gca_002849105.Aspste1.dna.toplevel.fa_vs_GCF_002849105.1_Aspste1_genomic.fna_blast.xml,0,0,0,0,0,0,0,1,37847954,0,4,1,0,0,0,Aspergillus_steynii_ibt_23096_gca_002849105_subject_array_1753406915.bin
,1392255,GCA_002847465.1,PRJNA453589,Aspergillus novofumigatus IBT 16806,strain=IBT 16806,GCF_002847465.1,32440129,Aspergillus_novofumigatus_ibt_16806_gca_002847465.Aspnov1.dna.toplevel.fa,GCF_002847465.1_Aspnov1_genomic.fna.gz, 32440129, 32440129,Aspergillus_novofumigatus_ibt_16806_gca_002847465.Aspnov1.dna.toplevel.fa_vs_GCF_002847465.1_Aspnov1_genomic.fna_blast.xml,0,0,0,0,0,0,1,0,32440125,0,0,3,0,0,0,Aspergillus_novofumigatus_ibt_16806_gca_002847465_subject_array_1753406932.bin
,1392256,GCA_002846915.2,PRJNA722000,Aspergillus ochraceoroseus IBT 24754,strain=IBT 24754,GCF_002846915.1,27718211,Aspergillus_ochraceoroseus_ibt_24754_gca_002846915.Aspergillus_ochraceoroseus_IBT_24754_v1.1.dna.toplevel.fa,GCF_002846915.1_Aspergillus_ochraceoroseus_IBT_24754_v1.1_genomic.fna.gz, 27718211, 27718211,Aspergillus_ochraceoroseus_ibt_24754_gca_002846915.Aspergillus_ochraceoroseus_IBT_24754_v1.1.dna.toplevel.fa_vs_GCF_002846915.1_Aspergillus_ochraceoroseus_IBT_24754_v1.1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,27718208,0,3,0,0,0,0,Aspergillus_ochraceoroseus_ibt_24754_gca_002846915_subject_array_1753406999.bin
,1397361,GCA_000961545.1,PRJNA319337,Sporothrix schenckii 1099-18,strain=1099-18,GCF_000961545.1,32375103,Sporothrix_schenckii_1099_18_gca_000961545.S_schenckii_v1.dna.toplevel.fa,GCF_000961545.1_S_schenckii_v1_genomic.fna.gz, 32375103, 32375103,Sporothrix_schenckii_1099_18_gca_000961545.S_schenckii_v1.dna.toplevel.fa_vs_GCF_000961545.1_S_schenckii_v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,10,32375093,0,0,0,0,0,0,Sporothrix_schenckii_1099_18_gca_000961545_subject_array_1753407011.bin
,1398154,GCA_000820605.1,PRJNA721989,Sporothrix brasiliensis 5110,strain=5110,GCF_000820605.1,33205847,Sporothrix_brasiliensis_5110_gca_000820605.S_brasiliensis_5110_v1.dna.toplevel.fa,GCF_000820605.1_S_brasiliensis_5110_v1_genomic.fna.gz, 33205847, 33205847,Sporothrix_brasiliensis_5110_gca_000820605.S_brasiliensis_5110_v1.dna.toplevel.fa_vs_GCF_000820605.1_S_brasiliensis_5110_v1_genomic.fna_blast.xml,0,0,0,1,0,0,13,0,33205762,0,60,11,0,0,0,Sporothrix_brasiliensis_5110_gca_000820605_subject_array_1753407024.bin
,1408163,GCA_000968595.1,PRJNA292605,Rasamsonia emersonii CBS 393.64,strain=CBS 393.64,GCF_000968595.1,28248805,Rasamsonia_emersonii_cbs_393_64_gca_000968595.ASM96859v1.dna.toplevel.fa,GCF_000968595.1_ASM96859v1_genomic.fna.gz, 28248805, 28248805,Rasamsonia_emersonii_cbs_393_64_gca_000968595.ASM96859v1.dna.toplevel.fa_vs_GCF_000968595.1_ASM96859v1_genomic.fna_blast.xml,0,0,0,0,0,0,45,10,28248511,0,40,171,28,0,0,Rasamsonia_emersonii_cbs_393_64_gca_000968595_subject_array_1753407035.bin
,1408657,GCA_001477535.1,PRJNA342697,Pneumocystis jirovecii RU7,strain=RU7,GCF_001477535.1,8396240,Pneumocystis_jirovecii_ru7_gca_001477535.Pneu_jiro_RU7_V2.dna.toplevel.fa,GCF_001477535.1_Pneu_jiro_RU7_V2_genomic.fna.gz, 8396240, 8396240,Pneumocystis_jirovecii_ru7_gca_001477535.Pneu_jiro_RU7_V2.dna.toplevel.fa_vs_GCF_001477535.1_Pneu_jiro_RU7_V2_genomic.fna_blast.xml,0,0,0,1,0,0,0,0,8396236,0,0,3,0,0,0,Pneumocystis_jirovecii_ru7_gca_001477535_subject_array_1753407040.bin
,1408658,GCA_001477545.1,PRJNA342696,Pneumocystis carinii B80,strain=B80,GCF_001477545.1,7661456,Pneumocystis_carinii_b80_gca_001477545.Pneu_cari_B80_V3.dna.toplevel.fa,GCF_001477545.1_Pneu_cari_B80_V3_genomic.fna.gz, 7661456, 7661456,Pneumocystis_carinii_b80_gca_001477545.Pneu_cari_B80_V3.dna.toplevel.fa_vs_GCF_001477545.1_Pneu_cari_B80_V3_genomic.fna_blast.xml,0,0,1,55,0,0,758,0,7648046,0,1395,10625,565,0,11,Pneumocystis_carinii_b80_gca_001477545_subject_array_1753407045.bin
,1441469,GCA_001907595.1,PRJNA374571,Talaromyces atroroseus,strain=IBT 11181,GCF_001907595.1,30858562,Talaromyces_atroroseus_gca_001907595.ASM190759v1.dna.toplevel.fa,GCF_001907595.1_ASM190759v1_genomic.fna.gz, 30858562, 30858562,Talaromyces_atroroseus_gca_001907595.ASM190759v1.dna.toplevel.fa_vs_GCF_001907595.1_ASM190759v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,22696,30835502,0,0,41,316,0,7,Talaromyces_atroroseus_gca_001907595_subject_array_1753407077.bin
,1442368,GCA_000835455.1,PRJNA292603,Fonsecaea pedrosoi CBS 271.37,strain=CBS 271.37,GCF_000835455.1,34688880,Fonsecaea_pedrosoi_cbs_271_37_gca_000835455.Fons_pedr_CBS_271_37_V1.dna.toplevel.fa,GCF_000835455.1_Fons_pedr_CBS_271_37_V1_genomic.fna.gz, 34688880, 34688880,Fonsecaea_pedrosoi_cbs_271_37_gca_000835455.Fons_pedr_CBS_271_37_V1.dna.toplevel.fa_vs_GCF_000835455.1_Fons_pedr_CBS_271_37_V1_genomic.fna_blast.xml,0,0,0,0,0,0,0,55869,34632939,0,0,7,65,0,0,Fonsecaea_pedrosoi_cbs_271_37_gca_000835455_subject_array_1753407090.bin
,1442369,GCA_000835555.1,PRJNA292602,Rhinocladiella mackenziei CBS 650.93,strain=CBS 650.93,GCF_000835555.1,32474431,Rhinocladiella_mackenziei_cbs_650_93_gca_000835555.Rhin_mack_CBS_650_93_V1.dna.toplevel.fa,GCF_000835555.1_Rhin_mack_CBS_650_93_V1_genomic.fna.gz, 32474431, 32474431,Rhinocladiella_mackenziei_cbs_650_93_gca_000835555.Rhin_mack_CBS_650_93_V1.dna.toplevel.fa_vs_GCF_000835555.1_Rhin_mack_CBS_650_93_V1_genomic.fna_blast.xml,0,0,0,0,0,0,0,40765,32433482,0,1,22,161,0,0,Rhinocladiella_mackenziei_cbs_650_93_gca_000835555_subject_array_1753407107.bin
