##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_013086375.1	PRJNA485481	na	na	na	629727	3052641	Chagres virus	na	na	latest	Complete Genome	Major	Full	2021-06-01	ASM1308637v1	Center for Infection and Immunity, Columbia University	GCA_013086375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/086/375/GCF_013086375.1_ASM1308637v1	na	ICTV species exemplar	na	haploid	viral	12602	12602	42.000000	3	3	3	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-06-01	4	4	0	na
GCF_008802735.1	PRJNA485481	na	na	na	629728	3052588	Chilibre virus	na	VP-118D	latest	Complete Genome	Major	Full	2023-05-06	ASM880273v1	Division of Vector-borne Diseases, Centers for Disease Control and Prevention	GCA_008802735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/802/735/GCF_008802735.1_ASM880273v1	na	ICTV species exemplar	na	haploid	viral	12543	12543	35.000000	3	3	3	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-05-06	3	3	0	na
GCF_013086365.1	PRJNA485481	na	na	na	629730	3052638	Cacao virus	na	VP-437R	latest	Complete Genome	Major	Full	2021-06-01	ASM1308636v1	Division of Vector-borne Diseases, Centers for Disease Control and Prevention	GCA_013086365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/086/365/GCF_013086365.1_ASM1308636v1	na	ICTV species exemplar	na	haploid	viral	12515	12515	40.000000	3	3	3	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-06-10	4	4	0	na
GCF_013086355.1	PRJNA485481	na	na	na	629735	3052655	Itaporanga virus	na	original	latest	Complete Genome	Major	Full	2021-06-01	ASM1308635v1	Division of Vector-borne Diseases, Centers for Disease Control and Prevention	GCA_013086355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/086/355/GCF_013086355.1_ASM1308635v1	na	ICTV species exemplar	na	haploid	viral	12594	12594	44.000000	3	3	3	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-06-10	4	4	0	na
GCF_013086345.1	PRJNA485481	na	na	na	629736	3052650	Gabek Forest virus	na	Sud AN 754-61	latest	Complete Genome	Major	Full	2021-06-01	ASM1308634v1	Center for Genome Sciences, USAMRIID	GCA_013086345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/086/345/GCF_013086345.1_ASM1308634v1	na	ICTV species exemplar	na	haploid	viral	12663	12663	44.000000	3	3	3	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-06-01	4	4	0	24096318
GCF_013086335.1	PRJNA485481	na	na	na	629737	3052687	Turuna virus	na	na	latest	Complete Genome	Major	Full	2021-06-01	ASM1308633v1	Center for Infection and Immunity	GCA_013086335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/086/335/GCF_013086335.1_ASM1308633v1	na	ICTV species exemplar	na	haploid	viral	12652	12652	40.500000	3	3	3	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-06-01	4	4	0	21289119
GCF_013086325.1	PRJNA485481	na	na	na	629739	3052667	Nique virus	na	na	latest	Complete Genome	Major	Full	2021-06-01	ASM1308632v1	Center for Infection and Immunity	GCA_013086325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/086/325/GCF_013086325.1_ASM1308632v1	na	ICTV species exemplar	na	haploid	viral	12387	12387	40.500000	3	3	3	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-06-01	4	4	0	21289119
GCF_013086315.1	PRJNA485481	na	na	na	629740	3052677	Rio Grande virus	na	TBM3-204	latest	Complete Genome	Major	Full	2021-06-01	ASM1308631v1	Wyoming State Veterinary Laboratory, University of Wyoming	GCA_013086315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/086/315/GCF_013086315.1_ASM1308631v1	na	ICTV species exemplar	na	haploid	viral	12088	12088	43.500000	3	3	3	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-06-10	4	4	0	na
GCF_000882775.1	PRJNA485481	na	na	na	630199	3047855	Grapevine Syrah virus 1	na	na	latest	Complete Genome	Major	Full	2009-03-31	ViralProj36515	Plant Pathology Department, University of California-Davis	GCA_000882775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/882/775/GCF_000882775.1_ViralProj36515	na	ICTV species exemplar	na	haploid	viral	6506	6506	59.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	2	2	0	19304303
GCF_000895475.1	PRJNA485481	na	na	na	631267	631267	Chaoyang virus	na	HLD115	latest	Complete Genome	Major	Full	2012-07-10	ViralProj157255	Arbovirus Laboratory, Liaoning Center For Disease Control And Prevention	GCA_000895475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/895/475/GCF_000895475.1_ViralProj157255	na	na	na	haploid	viral	10733	10733	48.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2019-05-24	1	1	0	na
GCF_000881215.1	PRJNA485481	na	na	na	631345	631345	Solenopsis invicta virus 3	na	DM	latest	Complete Genome	Major	Full	2009-04-06	ViralProj36613	IFAHI/CMAVE, USDA-ARS	GCA_000881215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/881/215/GCF_000881215.1_ViralProj36613	na	ICTV species exemplar	na	haploid	viral	10411	10411	29.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	2	2	0	19403154
GCF_002868015.1	PRJNA485481	na	na	na	631431	631431	Heterobasidion partitivirus 3	strain=HetRV3-ec1	na	latest	Complete Genome	Major	Full	2018-08-24	ASM286801v1	Forest Pathology, Finnish Forest Research Institute, Vantaa Research Centre	GCA_002868015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/868/015/GCF_002868015.1_ASM286801v1	na	ICTV species exemplar	na	haploid	viral	3711	3711	47.500000	2	2	2	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-10-21	2	2	0	21036340
GCF_001308515.1	PRJNA485481	na	na	na	631719	1922213	Vibrio phage VP585	na	na	latest	Complete Genome	Major	Full	2015-10-07	ViralProj298061	Hertwig S., Federal Institute for Risk Assessment, Molecular Diagnostics, Genetics, Diedersdorfer Weg 1, 12277 Berlin, 12277, GERMANY	GCA_001308515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/308/515/GCF_001308515.1_ViralProj298061	na	ICTV species exemplar	na	haploid	viral	42612	42612	51.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	58	58	0	19587034
GCF_000883755.1	PRJNA485481	na	na	na	634168	2747319	Halorubrum pleomorphic virus 1	na	na	latest	Complete Genome	Major	Full	2009-04-13	ViralProj36677	Institute of Biotechnology/Dept. of Biological and Environmental Sciences, University of Helsinki	GCA_000883755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/883/755/GCF_000883755.1_ViralProj36677	na	ICTV species exemplar	na	haploid	viral	7048	7048	54.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-01-08	9	9	0	19298373
GCF_000886855.1	PRJNA485481	na	na	na	634441	634441	Tomato leaf curl Sulawesi virus	na	FI08No1-1	latest	Complete Genome	Major	Full	2009-10-16	ViralProj41173	Virology, AVRDC-The World Vegetable Center	GCA_000886855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/886/855/GCF_000886855.1_ViralProj41173	na	ICTV species exemplar	na	haploid	viral	2751	2751	41.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2009-10-19	6	6	0	na
GCF_002826845.1	PRJNA485481	na	na	na	634772	1513247	Ovis aries papillomavirus 3	na	Sar1	latest	Complete Genome	Major	Full	2018-08-24	ASM282684v1	Diapartimento di Patologia e Clinica Veterinaria, Universita' Degli Studi di Sassari	GCA_002826845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/826/845/GCF_002826845.1_ASM282684v1	na	ICTV species exemplar	na	haploid	viral	7344	7344	47.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-24	7	7	0	20863546
GCF_000884735.1	PRJNA485481	na	na	na	635076	635076	Betasatellite ageracameroonense	na	AGLI4B1	latest	Complete Genome	Major	Full	2009-04-13	ViralProj36669	Leke W.N., Dept of Plant Biol and Forest Genetics, Swedish Univ of Agricultural Sciences, Box 7080, SE-750 07, Uppsala, SWEDEN	GCA_000884735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/884/735/GCF_000884735.1_ViralProj36669	na	na	na	haploid	viral	1389	1389	35.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	1	1	0	na
GCF_002987805.1	PRJNA485481	na	na	na	635076	635076	Betasatellite ageracameroonense	na	AMBF	latest	Complete Genome	Major	Full	2023-05-04	ASM298780v1	Leke W.N., Dept of Plant Biol and Forest Genetics, Swedish Univ of Agricultural Sciences, Box 7080, SE-750 07, Uppsala, SWEDEN	GCA_002987805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/987/805/GCF_002987805.1_ASM298780v1	na	ICTV species exemplar	na	haploid	viral	1393	1393	35.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-05-04	1	1	0	na
GCF_000888035.1	PRJNA485481	na	na	na	637730	1987994	Shigella phage Ag3	na	na	latest	Complete Genome	Major	Full	2009-12-30	ViralProj42937	Canadian Research Institute for Food Safety, University of Guelph	GCA_000888035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/888/035/GCF_000888035.1_ViralProj42937	na	ICTV species exemplar	na	haploid	viral	158006	158006	50.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2019-06-04	220	216	4	21595934
GCF_000882855.1	PRJNA485481	na	na	na	638313	3052040	Human bocavirus 3	strain=W471	na	latest	Complete Genome	Major	Full	2009-04-17	ViralProj37291	Infectious Diseases Laboratories, Institute of Medical and Veterinary Science	GCA_000882855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/882/855/GCF_000882855.1_ViralProj37291	na	na	na	haploid	viral	5242	5242	42.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	4	4	0	19381259
GCF_000884795.1	PRJNA485481	na	na	na	638358	638358	Eragrostis curvula streak virus	na	ECSV-ZA-Esc1-g382-2008	latest	Complete Genome	Major	Full	2009-05-08	ViralProj37889	Electron Microscope Unit, University of Cape Town	GCA_000884795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/884/795/GCF_000884795.1_ViralProj37889	na	ICTV species exemplar	na	haploid	viral	2754	2754	49.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	3	3	0	19321000
GCF_001678255.2	PRJNA485481	na	na	na	638660	638660	Short-finned eel ranavirus	na	ANGA14001	latest	Complete Genome	Major	Full	2016-10-05	ViralProj326525	Department of Infectious Disease and Pathology, College of Veterinary Medicine, University of Florida	GCA_001678255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/678/255/GCF_001678255.2_ViralProj326525	na	ICTV additional isolate	na	haploid	viral	126965	126965	54.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-01-08	111	111	0	na
GCF_000881315.1	PRJNA485481	na	na	na	640136	640136	Emilia yellow vein virus-associated DNA beta	na	Fz1	latest	Complete Genome	Major	Full	2009-05-12	ViralProj37893	Institute of Plant Virology, Fujian Agriculture and Forestry University	GCA_000881315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/881/315/GCF_000881315.1_ViralProj37893	na	ICTV species exemplar	na	haploid	viral	1337	1337	37.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2009-05-12	1	1	0	na
GCF_000885295.1	PRJNA485481	na	na	na	640897	640897	Phytophthora infestans RNA virus 1	na	na	latest	Complete Genome	Major	Full	2009-12-09	ViralMultiSegProj40329	Plant Pathology and Plant-Microbe Biology, Cornell University	GCA_000885295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/295/GCF_000885295.1_ViralMultiSegProj40329	na	na	na	haploid	viral	6116	6116	44.000000	2	2	2	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2009-12-09	3	3	0	19632701
GCF_000882895.1	PRJNA485481	na	na	na	641487	2845427	Lactococcus phage P087	na	na	latest	Complete Genome	Major	Full	2009-05-08	ViralProj37887	Laboratoire de Genetique Microbienne, INRA	GCA_000882895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/882/895/GCF_000882895.1_ViralProj37887	na	ICTV species exemplar	na	haploid	viral	60074	60074	34.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2012-08-26	93	88	5	19349056
GCF_001343785.1	PRJNA485481	na	na	na	641809	2955291	Influenza A virus (A/California/07/2009(H1N1))	strain=A/California/07/2009	na	latest	Complete Genome	Major	Full	2015-02-23	ViralMultiSegProj274766	WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division, Centers for Disease Control and Prevention, Atlanta	GCA_001343785.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/343/785/GCF_001343785.1_ViralMultiSegProj274766	na	na	na	haploid	viral	13158	13158	43.500000	8	8	8	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2015-02-23	12	11	0	19465683;19423869
GCF_000881295.1	PRJNA485481	na	na	na	641832	2733936	Vibrio phage VP93	na	na	latest	Complete Genome	Major	Full	2009-05-08	ViralProj37885	Biotecnologia, Instituto de Nutricion y Tecnologia de los Alimentos, Universidad de Chile	GCA_000881295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/881/295/GCF_000881295.1_ViralProj37885	na	ICTV species exemplar	na	haploid	viral	43931	43931	49.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2009-05-08	44	44	0	20105216
GCF_000925615.1	PRJNA485481	na	na	na	642022	642022	Lyssavirus Ozernoe	strain=Ozernoe	na	latest	Complete Genome	Major	Full	2014-10-31	ViralProj265904	Laboratory of Analytical Bioorganic Chemistry, Limnological Institute	GCA_000925615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/925/615/GCF_000925615.1_ViralProj265904	na	na	na	haploid	viral	11980	11980	44.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	5	5	0	na
GCF_000883935.1	PRJNA485481	na	na	na	642111	70203	Vibrio phage VEJ	na	na	latest	Complete Genome	Major	Full	2009-06-03	ViralProj38367	Molecular Biology, Centro Nacional de Investigaciones Cientificas	GCA_000883935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/883/935/GCF_000883935.1_ViralProj38367	na	ICTV additional isolate	na	haploid	viral	6842	6842	43.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	11	11	0	19833774
GCF_000884135.1	PRJNA485481	na	na	na	642251	642251	Circovirus-like genome RW-A	strain=RW-A	na	latest	Complete Genome	Major	Full	2009-07-24	ViralProj39617	College of Marine Science, University of South Florida	GCA_000884135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/884/135/GCF_000884135.1_ViralProj39617	na	na	na	haploid	viral	2162	2162	51.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	3	3	0	19570956
GCF_000885755.1	PRJNA485481	na	na	na	642252	642252	Circovirus-like genome RW-B	strain=RW-B	na	latest	Complete Genome	Major	Full	2009-07-24	ViralProj39619	College of Marine Science, University of South Florida	GCA_000885755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/755/GCF_000885755.1_ViralProj39619	na	na	na	haploid	viral	2819	2819	48.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	2	2	0	19570956
GCF_000885115.1	PRJNA485481	na	na	na	642253	642253	Circovirus-like genome RW-C	strain=RW-C	na	latest	Complete Genome	Major	Full	2009-07-24	ViralProj39621	College of Marine Science, University of South Florida	GCA_000885115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/115/GCF_000885115.1_ViralProj39621	na	na	na	haploid	viral	1803	1803	32.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2009-07-30	2	2	0	19570956
GCF_000886635.1	PRJNA485481	na	na	na	642254	642254	Circovirus-like genome RW-D	strain=RW-D	na	latest	Complete Genome	Major	Full	2009-07-24	ViralProj39623	College of Marine Science, University of South Florida	GCA_000886635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/886/635/GCF_000886635.1_ViralProj39623	na	na	na	haploid	viral	2072	2072	39.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	2	2	0	19570956
GCF_000884155.1	PRJNA485481	na	na	na	642255	642255	Circovirus-like genome RW-E	strain=RW-E	na	latest	Complete Genome	Major	Full	2009-07-24	ViralProj39625	College of Marine Science, University of South Florida	GCA_000884155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/884/155/GCF_000884155.1_ViralProj39625	na	ICTV species exemplar	na	haploid	viral	2782	2782	40.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	2	2	0	19570956
GCF_000885775.1	PRJNA485481	na	na	na	642256	642256	Circovirus-like genome CB-A	strain=CB-A	na	latest	Complete Genome	Major	Full	2009-07-24	ViralProj39627	College of Marine Science, University of South Florida	GCA_000885775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/775/GCF_000885775.1_ViralProj39627	na	ICTV species exemplar	na	haploid	viral	2160	2160	43.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	2	2	0	19570956
GCF_000885135.1	PRJNA485481	na	na	na	642257	642257	Circovirus-like genome CB-B	strain=CB-B	na	latest	Complete Genome	Major	Full	2009-07-27	ViralProj39629	College of Marine Science, University of South Florida	GCA_000885135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/135/GCF_000885135.1_ViralProj39629	na	ICTV species exemplar	na	haploid	viral	2757	2757	49.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2009-09-18	4	2	0	19570956
GCF_000886655.1	PRJNA485481	na	na	na	642258	642258	Circovirus-like genome SAR-A	strain=SAR-A	na	latest	Complete Genome	Major	Full	2009-08-03	ViralProj39631	College of Marine Science, University of South Florida	GCA_000886655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/886/655/GCF_000886655.1_ViralProj39631	na	na	na	haploid	viral	1739	1739	41.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	1	1	0	19570956
GCF_000886595.1	PRJNA485481	na	na	na	642259	642259	Circovirus-like genome SAR-B	strain=SAR-B	na	latest	Complete Genome	Major	Full	2009-07-24	ViralProj39607	College of Marine Science, University of South Florida	GCA_000886595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/886/595/GCF_000886595.1_ViralProj39607	na	na	na	haploid	viral	1833	1833	43.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	2	2	0	19570956
GCF_000885735.1	PRJNA485481	na	na	na	642260	642260	Circovirus-like genome BBC-A	strain=BBC-A	na	latest	Complete Genome	Major	Full	2009-07-24	ViralProj39611	College of Marine Science, University of South Florida	GCA_000885735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/735/GCF_000885735.1_ViralProj39611	na	na	na	haploid	viral	1815	1815	32.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	2	2	0	19570956
GCF_000885635.1	PRJNA485481	na	na	na	642478	642478	Lettuce chlorosis virus	na	California	latest	Complete Genome	Major	Full	2009-07-01	ViralMultiSegProj38899	Plant Pathology and Microbiology, University of California Riverside	GCA_000885635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/635/GCF_000885635.1_ViralMultiSegProj38899	na	ICTV species exemplar	na	haploid	viral	17147	17147	37.500000	2	2	2	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2012-03-21	14	14	0	19481773
GCF_000883815.1	PRJNA485481	na	na	na	642493	222475	Malvastrum yellow vein Baoshan virus	na	Y278	latest	Complete Genome	Major	Full	2009-05-12	ViralProj37891	Zhou X.P., Zhejiang University, Institute of Biotechnology, NO. 268, Kaixuan Road, Hangzhou, Zhejiang, 310029, CHINA	GCA_000883815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/883/815/GCF_000883815.1_ViralProj37891	na	ICTV additional isolate	na	haploid	viral	2743	2743	44.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2011-02-05	6	6	0	na
GCF_000885975.1	PRJNA485481	SAMEA3283090	na	na	642926	642926	Ostreococcus tauri virus 1	strain=1	na	latest	Complete Genome	Major	Full	2009-10-07	ViralProj40907	Allen M.J., Virology, Plymouth Marine Laboratory, Prospect Place, The Hoe, Plymouth, Devon, PL1 3DH, UNITED KINGDOM	GCA_000885975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/975/GCF_000885975.1_ViralProj40907	na	na	na	haploid	viral	191761	191761	44.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2020-12-19	233	230	0	19650882
GCF_000882915.1	PRJNA485481	na	na	na	643132	643132	Quang Binh virus	na	VN180	latest	Complete Genome	Major	Full	2009-05-11	ViralProj37969	Division of Vector-Borne Infectious Diseases, Centers for Disease Control and Prevention	GCA_000882915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/882/915/GCF_000882915.1_ViralProj37969	na	na	na	haploid	viral	10865	10865	52.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2019-05-24	2	2	0	19347244;20097399
GCF_002822785.1	PRJNA485481	na	na	na	643133	643133	Malvastrum yellow mosaic Helshire virus	na	Ma179A5	latest	Complete Genome	Major	Full	2018-08-24	ASM282278v1	Biotechnology Centre, University of the West Indies	GCA_002822785.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/822/785/GCF_002822785.1_ASM282278v1	na	ICTV species exemplar	na	haploid	viral	2609	2609	47.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-24	5	5	0	na
GCF_000886415.1	PRJNA485481	na	na	na	644007	644007	Streptococcus phage PH10	na	na	latest	Complete Genome	Major	Full	2009-06-03	ViralProj38365	van der Ploeg J.R., Institute of Oral Biology, University of Zurich, Plattenstrasse 11, 8032, SWITZERLAND	GCA_000886415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/886/415/GCF_000886415.1_ViralProj38365	na	na	na	haploid	viral	31276	31276	39.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	54	54	0	na
GCF_000887015.1	PRJNA485481	na	na	na	644563	2733613	Vibrio phage N4	na	na	latest	Complete Genome	Major	Full	2009-12-18	ViralProj42785	National Institute of Cholera and Enteric Diseases	GCA_000887015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/887/015/GCF_000887015.1_ViralProj42785	na	ICTV species exemplar	na	haploid	viral	38497	38497	43.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2009-12-18	47	47	0	21430354
GCF_000883875.1	PRJNA485481	na	na	na	644609	644609	Nyavirus midwayense	na	RML47153	latest	Complete Genome	Major	Full	2009-05-19	ViralProj38097	Genetics, Washington University	GCA_000883875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/883/875/GCF_000883875.1_ViralProj38097	na	ICTV species exemplar	na	haploid	viral	11752	11752	50.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	6	6	0	19279111
GCF_000882955.1	PRJNA485481	na	na	na	644610	644610	Nyavirus nyamaniniense	na	tick 39	latest	Complete Genome	Major	Full	2009-05-19	ViralProj38109	Genetics, Washington University	GCA_000882955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/882/955/GCF_000882955.1_ViralProj38109	na	ICTV species exemplar	na	haploid	viral	11631	11631	52.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	6	6	0	19279111
GCF_002818905.1	PRJNA485481	na	na	na	645425	1239571	Bottlenose dolphin astrovirus 1	strain=Bd1	na	latest	Chromosome	Major	Partial	2019-06-28	ASM281890v1	Hubbs-SeaWorld Research Institute	GCA_002818905.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/818/905/GCF_002818905.1_ASM281890v1	partial	ICTV species exemplar	na	haploid	viral	3990	3990	44.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2019-06-28	2	2	0	19759240
GCF_002194505.1	PRJNA485481	na	na	na	645427	1239568	California sea lion astrovirus 2	strain=CSL2	na	latest	Chromosome	Major	Partial	2017-06-13	ViralProj390415	Hubbs-SeaWorld Research Institute	GCA_002194505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/194/505/GCF_002194505.1_ViralProj390415	partial	ICTV species exemplar	na	haploid	viral	3510	3510	46.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	2	2	0	19759240
GCF_000888655.1	PRJNA485481	na	na	na	645664	1913995	Shigella phage SP18	na	na	latest	Complete Genome	Major	Full	2010-10-15	ViralProj56019	Department of Biology, Kyung Hee University	GCA_000888655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/888/655/GCF_000888655.1_ViralProj56019	na	ICTV species exemplar	na	haploid	viral	170605	170605	40.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	289	284	3	20437154
GCF_000885815.1	PRJNA485481	na	na	na	645687	1239573	Astrovirus VA1	na	VA1	latest	Complete Genome	Major	Full	2009-08-05	ViralProj39811	Division of Viral Diseases, Centers for Disease Control and Prevention	GCA_000885815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/815/GCF_000885815.1_ViralProj39811	na	ICTV species exemplar	na	haploid	viral	6586	6586	42.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	3	3	0	19706703
