Index	Sequence ID	Virus Tax ID	FTP Path
11616	MW507133	2805837	N/A
11617	MW507134	2805843	N/A
11618	MW507135	2805833	N/A
11619	MW507136	2805844	N/A
11620	MW508890	2808969	N/A
11621	MW512264	2809110	N/A
11622	MW512570	2803369	N/A
11623	MW512571	2814699	N/A
11624	MW512572	2814700	N/A
11625	MW512573	2814701	N/A
11626	MW512830	2814695	N/A
11627	MW512831	2814691	N/A
11628	MW512832	2814692	N/A
11629	MW512833	2814693	N/A
11630	MW512834	2814694	N/A
11631	MW514246	2813174	N/A
11632	MW514247	2813173	N/A
11633	MW526258	2812899	N/A
11634	MW526260	2812901	N/A
11635	MW528836	2813167	N/A
11636	MW534374	2812932	N/A
11637	MW534375	2812933	N/A
11638	MW534376	2812934	N/A
11639	MW534377	2812935	N/A
11640	MW534378	2812936	N/A
11641	MW534379	2812937	N/A
11642	MW534380	2812938	N/A
11643	MW534381	2812939	N/A
11644	MW546064	2813346	N/A
11645	MW546065	2813339	N/A
11646	MW546066	2813340	N/A
11647	MW546067	2813341	N/A
11648	MW546068	2813343	N/A
11649	MW546069	2813344	N/A
11650	MW546070	2813342	N/A
11651	MW546071	2834980	N/A
11652	MW546073	2813338	N/A
11653	MW546074	2813345	N/A
11654	MW546075	2813347	N/A
11655	MW546076	1857890	N/A
11656	MW546077	2834981	N/A
11657	MW554488	2813166	N/A
11658	MW557846	2810704	N/A
11659	MW560978	2736267	N/A
11660	MW567727	2815768	N/A
11661	MW570730	2815754	N/A
11662	MW570842	2810526	N/A
11663	MW574966	2945965	N/A
11664	MW578835	2813163	N/A
11665	MW578836	2813164	N/A
11666	MW582531	2815756	N/A
11667	MW582532	2815755	N/A
11668	MW582634	2811249	N/A
11669	MW584148	2813253	N/A
11670	MW584149	2813243	N/A
11671	MW584150	2813209	N/A
11672	MW584151	2813238	N/A
11673	MW584152	2813237	N/A
11674	MW584153	2813221	N/A
11675	MW584154	2813258	N/A
11676	MW584155	2813239	N/A
11677	MW584156	2813265	N/A
11678	MW584157	2813220	N/A
11679	MW584158	2813246	N/A
11680	MW584159	2813252	N/A
11681	MW584160	2813222	N/A
11682	MW584161	2813245	N/A
11683	MW584162	2813211	N/A
11684	MW584163	2813266	N/A
11685	MW584164	2813271	N/A
11686	MW584165	2813244	N/A
11687	MW584166	2813223	N/A
11688	MW584167	2813264	N/A
11689	MW584168	2813216	N/A
11690	MW584169	2813231	N/A
11691	MW584170	2813257	N/A
11692	MW584171	2813250	N/A
11693	MW584172	2813251	N/A
11694	MW584173	2813210	N/A
11695	MW584174	2813213	N/A
11696	MW584175	2813218	N/A
11697	MW584176	2813272	N/A
11698	MW584177	2813219	N/A
11699	MW584178	2813249	N/A
11700	MW584179	2813260	N/A
11701	MW584180	2813242	N/A
11702	MW584181	2813215	N/A
11703	MW584182	2813262	N/A
11704	MW584183	2813268	N/A
11705	MW584184	2813234	N/A
11706	MW584185	2813233	N/A
11707	MW584186	2813212	N/A
11708	MW584187	2813226	N/A
11709	MW584188	2813273	N/A
11710	MW584189	2813269	N/A
11711	MW584190	2813229	N/A
11712	MW584191	2813232	N/A
11713	MW584192	2813225	N/A
11714	MW584193	2813224	N/A
11715	MW584194	2813217	N/A
11716	MW584195	2813267	N/A
11717	MW584196	2813254	N/A
11718	MW584197	2813263	N/A
11719	MW584198	2813261	N/A
11720	MW584199	2813228	N/A
11721	MW584200	2813259	N/A
11722	MW584201	2813235	N/A
11723	MW584202	2813270	N/A
11724	MW584203	2813255	N/A
11725	MW584204	2813248	N/A
11726	MW584205	2813247	N/A
11727	MW584206	2813227	N/A
11728	MW584207	2813240	N/A
11729	MW584208	2813214	N/A
11730	MW584209	2813230	N/A
11731	MW584210	2813256	N/A
11732	MW584211	2813236	N/A
11733	MW584212	2813241	N/A
11734	MW584228	2812883	N/A
11735	MW584871	2812849	N/A
11736	MW589261	2812861	N/A
11737	MW590223	2812903	N/A
11738	MW590329	2849099	N/A
11739	MW590698	2813175	N/A
11740	MW595220	2813168	N/A
11741	MW595221	2813169	N/A
11742	MW596414	2812887	N/A
11743	MW598258	2812882	N/A
11744	MW600722	2812888	N/A
11745	MW601216	2816472	N/A
11746	MW601217	2816469	N/A
11747	MW601218	2816471	N/A
11748	MW601219	2816464	N/A
11749	MW601220	2816465	N/A
11750	MW601221	2816468	N/A
11751	MW601222	2816470	N/A
11752	MW601223	2816463	N/A
11753	MW601225	2816466	N/A
11754	MW602648	2815753	N/A
11755	MW627293	2816461	N/A
11756	MW627366	2816462	N/A
11757	MW629017	2810367	N/A
11758	MW630116	2810369	N/A
11759	MW633168	2816459	N/A
11760	MW650841	2831672	N/A
11761	MW650886	2831176	N/A
11762	MW651859	2815750	N/A
11763	MW654182	2829800	N/A
11764	MW660583	N/A	N/A
11765	MW671054	2820393	N/A
11766	MW672037	2823852	N/A
11767	MW672041	2831679	N/A
11768	MW677132	2814712	N/A
11769	MW677509	2835966	N/A
11770	MW677510	2835967	N/A
11771	MW677511	2835968	N/A
11772	MW677512	2835969	N/A
11773	MW677513	2835970	N/A
11774	MW677514	2835985	N/A
11775	MW677515	2835971	N/A
11776	MW677516	2835972	N/A
11777	MW677517	2835973	N/A
11778	MW677518	2835974	N/A
11779	MW677519	2835975	N/A
11780	MW677520	2835976	N/A
11781	MW677521	2835977	N/A
11782	MW677522	2835978	N/A
11783	MW677523	2835979	N/A
11784	MW677524	2835980	N/A
11785	MW677525	2835981	N/A
11786	MW677526	2835986	N/A
11787	MW677527	2835982	N/A
11788	MW677528	2835983	N/A
11789	MW677529	2835984	N/A
11790	MW679025	2853266	N/A
11791	MW679026	2853267	N/A
11792	MW679027	2853265	N/A
11793	MW679410	2831681	N/A
11794	MW689258	2831174	N/A
11795	MW712718	2836023	N/A
11796	MW712720	2836018	N/A
11797	MW712722	2836024	N/A
11798	MW712723	2836015	N/A
11799	MW712724	2836013	N/A
11800	MW712725	2836010	N/A
11801	MW712726	2836020	N/A
11802	MW712727	2836014	N/A
11803	MW712728	2836012	N/A
11804	MW712729	2836026	N/A
11805	MW712730	2836016	N/A
11806	MW712731	2836022	N/A
11807	MW712732	2836019	N/A
11808	MW712733	2836017	N/A
11809	MW712734	2836021	N/A
11810	MW712735	2836008	N/A
11811	MW712736	2836025	N/A
11812	MW712737	2809057	N/A
11813	MW713383	2831680	N/A
11814	MW713578	2831169	N/A
11815	MW722080	2820394	N/A
11816	MW722081	2820397	N/A
11817	MW722083	2820396	N/A
11818	MW722521	2820456	N/A
11819	MW722821	2812440	N/A
11820	MW725301	2831171	N/A
11821	MW735835	2820398	N/A
11822	MW741821	2831670	N/A
11823	MW748991	2829366	N/A
11824	MW748992	1852639	N/A
11825	MW748998	2836106	N/A
11826	MW748999	2836116	N/A
11827	MW749000	2836107	N/A
11828	MW749001	2836118	N/A
11829	MW749002	2836115	N/A
11830	MW749003	2836108	N/A
11831	MW749004	2836109	N/A
11832	MW749006	2836110	N/A
11833	MW749007	2836111	N/A
11834	MW749008	2836112	N/A
11835	MW749009	2836117	N/A
11836	MW749010	2836113	N/A
11837	MW760841	2831677	N/A
11838	MW767161	2831170	N/A
11839	MW767996	2813838	N/A
11840	MW787012	2834254	N/A
11841	MW788656	N/A	N/A
11842	MW790495	2838912	N/A
11843	MW790496	2838911	N/A
11844	MW791312	2831179	N/A
11845	MW802488	2822579	N/A
11846	MW805361	2945130	N/A
11847	MW805362	2945131	N/A
11848	MW805363	2945128	N/A
11849	MW805364	2945129	N/A
11850	MW812338	2835894	N/A
11851	MW812339	2835893	N/A
11852	MW812340	2835895	N/A
11853	MW812341	2835897	N/A
11854	MW812342	2835892	N/A
11855	MW812343	2835896	N/A
11856	MW812345	2834275	N/A
11857	MW815121	2834252	N/A
11858	MW822007	2835934	N/A
11859	MW822008	2835935	N/A
11860	MW822011	2829145	N/A
11861	MW822143	2848884	N/A
11862	MW822146	2848882	N/A
11863	MW822147	2848883	N/A
11864	MW822149	2848885	N/A
11865	MW822535	2822580	N/A
11866	MW822536	2822581	N/A
11867	MW822537	2822582	N/A
11868	MW822538	2822583	N/A
11869	MW822539	2822584	N/A
11870	MW822601	2823854	N/A
11871	MW824369	2859301	N/A
11872	MW824370	2859302	N/A
11873	MW824371	2859305	N/A
11874	MW824372	2859306	N/A
11875	MW824373	2859307	N/A
11876	MW824374	2859309	N/A
11877	MW824375	2859310	N/A
11878	MW824376	2859325	N/A
11879	MW824377	2859340	N/A
11880	MW824378	2859350	N/A
11881	MW824379	2859351	N/A
11882	MW824380	2859354	N/A
11883	MW824381	2859355	N/A
11884	MW824382	2859356	N/A
11885	MW824383	2859363	N/A
11886	MW824384	2859311	N/A
11887	MW824385	2859312	N/A
11888	MW824386	2859315	N/A
11889	MW824387	2859316	N/A
11890	MW824388	2859317	N/A
11891	MW824389	2859318	N/A
11892	MW824390	2859319	N/A
11893	MW824391	2859323	N/A
11894	MW824392	2859324	N/A
11895	MW824393	2859326	N/A
11896	MW824394	2859328	N/A
11897	MW824395	2859329	N/A
11898	MW824396	2859330	N/A
11899	MW824397	2859331	N/A
11900	MW824398	2859332	N/A
11901	MW824399	2859333	N/A
11902	MW824400	2859335	N/A
11903	MW824401	2859336	N/A
11904	MW824402	2859337	N/A
11905	MW824403	2859338	N/A
11906	MW824404	2859339	N/A
11907	MW824405	2859346	N/A
11908	MW824406	2859358	N/A
11909	MW824407	2859359	N/A
11910	MW824408	2859360	N/A
11911	MW824409	2859361	N/A
11912	MW824410	2859299	N/A
11913	MW824411	2859300	N/A
11914	MW824412	2859303	N/A
11915	MW824413	2859304	N/A
11916	MW824414	2859308	N/A
11917	MW824415	2859313	N/A
11918	MW824416	2859314	N/A
11919	MW824417	2859320	N/A
11920	MW824418	2859321	N/A
11921	MW824419	2859322	N/A
11922	MW824420	2859327	N/A
11923	MW824421	2859334	N/A
11924	MW824422	2859341	N/A
11925	MW824423	2859342	N/A
11926	MW824424	2859343	N/A
11927	MW824425	2859344	N/A
11928	MW824426	2859345	N/A
11929	MW824427	2859347	N/A
11930	MW824428	2859348	N/A
11931	MW824429	2859349	N/A
11932	MW824430	2859352	N/A
11933	MW824431	2859353	N/A
11934	MW824432	2859357	N/A
11935	MW824433	2859362	N/A
11936	MW824434	2859364	N/A
11937	MW825358	2829408	N/A
11938	MW831865	2834253	N/A
11939	MW845758	2859245	N/A
11940	MW845759	2859247	N/A
11941	MW845760	2859246	N/A
11942	MW846279	2835899	N/A
11943	MW862979	2836102	N/A
11944	MW862980	2836104	N/A
11945	MW862981	2836095	N/A
11946	MW862982	2836090	N/A
11947	MW862983	2836099	N/A
11948	MW862984	2836100	N/A
11949	MW862985	2836098	N/A
11950	MW862986	2836093	N/A
11951	MW862987	2836092	N/A
11952	MW862988	2836094	N/A
11953	MW862989	2836103	N/A
11954	MW862990	2836101	N/A
11955	MW862991	2836096	N/A
11956	MW862993	2836097	N/A
11957	MW864250	2835942	N/A
11958	MW864251	2835944	N/A
11959	MW864252	2835943	N/A
11960	MW865291	2859290	N/A
11961	MW865292	2859291	N/A
11962	MW865293	2859292	N/A
11963	MW865297	2859295	N/A
11964	MW865299	2859296	N/A
11965	MW865302	2859297	N/A
11966	MW865307	2859298	N/A
11967	MW865319	2859289	N/A
11968	MW865327	N/A	N/A
11969	MW865341	N/A	N/A
11970	MW876471	2831181	N/A
11971	MW879340	2859283	N/A
11972	MW879341	2859285	N/A
11973	MW879342	2859281	N/A
11974	MW879343	2859282	N/A
11975	MW879344	2859284	N/A
11976	MW882907	2834246	N/A
11977	MW882933	2836139	N/A
11978	MW882934	2836140	N/A
11979	MW883059	2829845	N/A
11980	MW883060	2829847	N/A
11981	MW883061	2829846	N/A
11982	MW900438	2831177	N/A
11983	MW916539	2829146	N/A
11984	MW924497	2836072	N/A
11985	MW924638	2829391	N/A
11986	MW924639	2829397	N/A
11987	MW924640	2829390	N/A
11988	MW924641	2829392	N/A
11989	MW924642	2829389	N/A
11990	MW924643	2829398	N/A
11991	MW924644	2829395	N/A
11992	MW924645	2829387	N/A
11993	MW924646	2829396	N/A
11994	MW924648	2829388	N/A
11995	MW924649	2829394	N/A
11996	MW924650	2829386	N/A
11997	MW924889	2824964	N/A
11998	MW926912	2834257	N/A
11999	MW927511	2835987	N/A
12000	MW927512	2835988	N/A
12001	MW927513	2835989	N/A
12002	MW927514	2835990	N/A
12003	MW927515	2835991	N/A
12004	MW927516	2835992	N/A
12005	MW927517	2835993	N/A
12006	MW927518	2835994	N/A
12007	MW927519	2835995	N/A
12008	MW927520	2835996	N/A
12009	MW927521	2835997	N/A
12010	MW927522	2835998	N/A
12011	MW927523	2835999	N/A
12012	MW927524	2836000	N/A
12013	MW927525	2836001	N/A
12014	MW929175	2839956	N/A
12015	MW929182	2830470	N/A
12016	MW934263	2834259	N/A
12017	MW960029	2836089	N/A
12018	MW960030	2836081	N/A
12019	MW960031	2836082	N/A
12020	MW960032	2836083	N/A
12021	MW960033	2836084	N/A
12022	MW960034	2836085	N/A
12023	MW960035	2836088	N/A
12024	MW960037	2836080	N/A
12025	MW960038	2836087	N/A
12026	MW960043	2834250	N/A
12027	MW965453	2834269	N/A
12028	MW978786	2834248	N/A
12029	MW980061	2836126	N/A
12030	MW980062	2836138	N/A
12031	MW980063	2836127	N/A
12032	MW980064	2836128	N/A
12033	MW980065	2836131	N/A
12034	MW980067	2836130	N/A
12035	MW980068	2836133	N/A
12036	MW980069	2836125	N/A
12037	MW980070	2836134	N/A
12038	MW980072	2836136	N/A
12039	MW980073	2836129	N/A
12040	MW980074	2836137	N/A
12041	MZ005670	2835960	N/A
12042	MZ005671	2835954	N/A
12043	MZ005672	2835964	N/A
12044	MZ005673	2835965	N/A
12045	MZ005674	2835963	N/A
12046	MZ005675	2835952	N/A
12047	MZ005676	2835957	N/A
12048	MZ005677	2835953	N/A
12049	MZ005678	2835958	N/A
12050	MZ005679	2835962	N/A
12051	MZ005680	2835955	N/A
12052	MZ005681	2835959	N/A
12053	MZ005683	2835956	N/A
12054	MZ005684	2835961	N/A
12055	MZ005685	2809056	N/A
12056	MZ020222	2834267	N/A
12057	MZ028625	2845815	N/A
12058	MZ028626	2845814	N/A
12059	MZ028628	2845817	N/A
12060	MZ031013	2834268	N/A
12061	MZ041098	2849100	N/A
12062	MZ042490	N/A	N/A
12063	MZ043613	2834266	N/A
12064	MZ043897	2836069	N/A
12065	MZ047271	2836053	N/A
12066	MZ065353	2836074	N/A
12067	MZ066625	1074428	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/817/275/GCF_002817275.1_ASM281727v1
12068	MZ073369	2836076	N/A
12069	MZ078141	2833876	N/A
12070	MZ079855	2836075	N/A
12071	MZ089728	2833427	N/A
12072	MZ089729	2833428	N/A
12073	MZ089730	2833429	N/A
12074	MZ089731	2833430	N/A
12075	MZ089732	2833431	N/A
12076	MZ089733	2833432	N/A
12077	MZ089734	2833438	N/A
12078	MZ089736	2833439	N/A
12079	MZ089737	2833440	N/A
12080	MZ089738	2833441	N/A
12081	MZ089739	2833442	N/A
12082	MZ089740	2833443	N/A
12083	MZ089741	2833444	N/A
12084	MZ089742	2833445	N/A
12085	MZ089747	2851141	N/A
12086	MZ089748	2851152	N/A
12087	MZ089749	2851163	N/A
12088	MZ089750	2851174	N/A
12089	MZ089751	2851185	N/A
12090	MZ089752	2851196	N/A
12091	MZ089753	2851203	N/A
12092	MZ089754	2851204	N/A
12093	MZ089755	2851205	N/A
12094	MZ089756	2851142	N/A
12095	MZ089757	2851143	N/A
12096	MZ089758	2851144	N/A
12097	MZ089759	2851145	N/A
12098	MZ089760	2851146	N/A
12099	MZ089761	2851147	N/A
12100	MZ089762	2851148	N/A
12101	MZ089763	2851149	N/A
12102	MZ089764	2851150	N/A
12103	MZ089765	2851151	N/A
12104	MZ089766	2851153	N/A
12105	MZ089767	2851154	N/A
12106	MZ089768	2851155	N/A
12107	MZ089769	2851156	N/A
12108	MZ089770	2851157	N/A
12109	MZ089771	2851158	N/A
12110	MZ089772	2851159	N/A
12111	MZ089773	2851160	N/A
12112	MZ089774	2851161	N/A
12113	MZ089775	2851162	N/A
12114	MZ089776	2851164	N/A
12115	MZ089777	2851165	N/A
12116	MZ089778	2851166	N/A
12117	MZ089779	2851167	N/A
12118	MZ089780	2851168	N/A
12119	MZ089781	2851169	N/A
12120	MZ089782	2851170	N/A
12121	MZ089783	2851171	N/A
12122	MZ089784	2851172	N/A
12123	MZ089785	2851173	N/A
12124	MZ089786	2851175	N/A
12125	MZ089787	2851176	N/A
12126	MZ089788	2851177	N/A
12127	MZ089789	2851178	N/A
12128	MZ089790	2851179	N/A
12129	MZ089791	2851180	N/A
12130	MZ089792	2851181	N/A
12131	MZ089793	2851182	N/A
12132	MZ089794	2851183	N/A
12133	MZ089795	2851184	N/A
12134	MZ089796	2851186	N/A
12135	MZ089797	2851187	N/A
12136	MZ089798	2851188	N/A
12137	MZ089799	2851189	N/A
12138	MZ089800	2851190	N/A
12139	MZ089801	2851191	N/A
12140	MZ089802	2851192	N/A
12141	MZ089803	2851193	N/A
12142	MZ089804	2851194	N/A
12143	MZ089805	2851195	N/A
12144	MZ089806	2851197	N/A
12145	MZ089807	2851198	N/A
12146	MZ089808	2851199	N/A
12147	MZ089809	2851200	N/A
12148	MZ089810	2851201	N/A
12149	MZ089811	2851202	N/A
12150	MZ090946	N/A	N/A
12151	MZ092003	2836077	N/A
12152	MZ099557	2867278	N/A
12153	MZ127825	2932851	N/A
12154	MZ127829	2835890	N/A
12155	MZ130936	255520	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/988/035/GCF_002988035.1_ASM298803v1
12156	MZ147816	2835638	N/A
12157	MZ150757	2834970	N/A
12158	MZ150758	2834971	N/A
12159	MZ150782	2836049	N/A
12160	MZ150783	2836046	N/A
12161	MZ150785	2836042	N/A
12162	MZ150786	2836052	N/A
12163	MZ150787	2836050	N/A
12164	MZ150790	2836047	N/A
12165	MZ150791	2836045	N/A
12166	MZ150792	2836051	N/A
12167	MZ150793	2836043	N/A
12168	MZ152914	2835940	N/A
12169	MZ156567	2835947	N/A
12170	MZ156568	2835948	N/A
12171	MZ156569	2835950	N/A
12172	MZ156570	2835949	N/A
12173	MZ170040	2836078	N/A
12174	MZ170041	2836079	N/A
12175	MZ171369	3070925	N/A
12176	MZ171370	2859487	N/A
12177	MZ171372	2859489	N/A
12178	MZ171373	2859490	N/A
12179	MZ171374	2859491	N/A
12180	MZ171375	2859492	N/A
12181	MZ171376	2842055	N/A
12182	MZ171377	2842056	N/A
12183	MZ171378	2859493	N/A
12184	MZ171379	2859494	N/A
12185	MZ171380	2859495	N/A
12186	MZ171381	2859496	N/A
12187	MZ172460	2928431	N/A
12188	MZ182246	2836121	N/A
12189	MZ182247	2836122	N/A
12190	MZ188970	2838316	N/A
12191	MZ188976	2835891	N/A
12192	MZ189261	2835926	N/A
12193	MZ189262	2835927	N/A
12194	MZ208805	2851026	N/A
12195	MZ209299	2859473	N/A
12196	MZ209301	2859475	N/A
12197	MZ209304	2859478	N/A
12198	MZ209305	2859479	N/A
12199	MZ209306	2859480	N/A
12200	MZ209307	2859481	N/A
12201	MZ218124	2834877	N/A
12202	MZ220765	2859517	N/A
12203	MZ220766	2859518	N/A
12204	MZ221764	2849097	N/A
12205	MZ223858	2849096	N/A
12206	MZ229661	2849092	N/A
12207	MZ230992	2863260	N/A
12208	MZ230993	2863262	N/A
12209	MZ230994	2863261	N/A
12210	MZ230995	2863259	N/A
12211	MZ230996	2863258	N/A
12212	MZ230997	2863256	N/A
12213	MZ230998	2863253	N/A
12214	MZ230999	2863254	N/A
12215	MZ231000	2863257	N/A
12216	MZ231001	2863255	N/A
12217	MZ234008	2865785	N/A
12218	MZ234009	2865786	N/A
12219	MZ234011	2865788	N/A
12220	MZ234012	2865789	N/A
12221	MZ234013	2865790	N/A
12222	MZ234014	2865791	N/A
12223	MZ234015	2865792	N/A
12224	MZ234018	2865795	N/A
12225	MZ234019	2865796	N/A
12226	MZ234020	2865797	N/A
12227	MZ234021	2865798	N/A
12228	MZ234022	2865799	N/A
12229	MZ234023	2865800	N/A
12230	MZ234024	2865801	N/A
12231	MZ234025	2865802	N/A
12232	MZ234026	2865803	N/A
12233	MZ234027	2865804	N/A
12234	MZ234030	2865807	N/A
12235	MZ234031	2865808	N/A
12236	MZ234032	2865809	N/A
12237	MZ234033	2865810	N/A
12238	MZ234034	2865811	N/A
12239	MZ234035	2865812	N/A
12240	MZ234036	2865813	N/A
12241	MZ234037	2865814	N/A
12242	MZ234038	2865815	N/A
12243	MZ234039	2865816	N/A
12244	MZ234040	2865817	N/A
12245	MZ234041	2865818	N/A
12246	MZ234042	2865819	N/A
12247	MZ234043	2865820	N/A
12248	MZ234044	2865821	N/A
12249	MZ234045	2865822	N/A
12250	MZ234046	2865823	N/A
12251	MZ234047	2865824	N/A
12252	MZ234048	2865825	N/A
12253	MZ234049	2865826	N/A
12254	MZ234050	2865827	N/A
12255	MZ234051	2865828	N/A
12256	MZ234052	2865829	N/A
12257	MZ234053	2865830	N/A
12258	MZ272341	2836120	N/A
12259	MZ274305	2859637	N/A
12260	MZ274306	2859638	N/A
12261	MZ274307	2859635	N/A
12262	MZ274310	2859636	N/A
12263	MZ285878	2860996	N/A
12264	MZ286294	N/A	N/A
12265	MZ291552	2849080	N/A
12266	MZ291906	51617	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/817/775/GCF_002817775.1_ASM281777v1
12267	MZ308445	2849079	N/A
12268	MZ311861	2866010	N/A
12269	MZ311862	2866009	N/A
12270	MZ311863	2866006	N/A
12271	MZ311864	2866008	N/A
12272	MZ311865	2866007	N/A
12273	MZ322004	2851112	N/A
12274	MZ322005	2851114	N/A
12275	MZ322006	2851106	N/A
12276	MZ322007	2851109	N/A
12277	MZ322008	2851102	N/A
12278	MZ322009	2851099	N/A
12279	MZ322010	2851094	N/A
12280	MZ322011	2851105	N/A
12281	MZ322013	2851093	N/A
12282	MZ322014	2851107	N/A
12283	MZ322015	2851097	N/A
12284	MZ322016	2851115	N/A
12285	MZ322017	2851113	N/A
12286	MZ322018	2851103	N/A
12287	MZ322019	2851110	N/A
12288	MZ322020	2851096	N/A
12289	MZ322021	2851095	N/A
12290	MZ322022	2851098	N/A
12291	MZ322023	2851111	N/A
12292	MZ322024	2849019	N/A
12293	MZ322025	2851116	N/A
12294	MZ322026	2851108	N/A
12295	MZ322027	2851104	N/A
12296	MZ322028	2851100	N/A
12297	MZ322319	2851029	N/A
12298	MZ322895	2849068	N/A
12299	MZ326168	2849628	N/A
12300	MZ326854	2859657	N/A
12301	MZ326855	2859663	N/A
12302	MZ326858	2859654	N/A
12303	MZ326860	2859660	N/A
12304	MZ326862	2859661	N/A
12305	MZ326863	2859650	N/A
12306	MZ326864	2859649	N/A
12307	MZ326865	2859651	N/A
12308	MZ326866	2859662	N/A
12309	MZ326867	2859659	N/A
12310	MZ326868	2859652	N/A
12311	MZ327261	2859524	N/A
12312	MZ327262	2859525	N/A
12313	MZ333131	2851070	N/A
12314	MZ333132	2851075	N/A
12315	MZ333133	2851076	N/A
12316	MZ333135	2851072	N/A
12317	MZ333456	2859528	N/A
12318	MZ333457	2859527	N/A
12319	MZ333458	2859526	N/A
12320	MZ333461	2859565	N/A
12321	MZ333462	2859564	N/A
12322	MZ334492	2877994	N/A
12323	MZ334493	2877997	N/A
12324	MZ334494	2877999	N/A
12325	MZ334495	2878004	N/A
12326	MZ334497	2877998	N/A
12327	MZ334498	2878001	N/A
12328	MZ334499	2878003	N/A
12329	MZ334500	2878007	N/A
12330	MZ334502	2877982	N/A
12331	MZ334503	2877984	N/A
12332	MZ334504	2877978	N/A
12333	MZ334505	2878011	N/A
12334	MZ334506	2877996	N/A
12335	MZ334507	2877983	N/A
12336	MZ334508	2877977	N/A
12337	MZ334509	2877985	N/A
12338	MZ334510	2877993	N/A
12339	MZ334511	2878002	N/A
12340	MZ334512	2878005	N/A
12341	MZ334514	2878012	N/A
12342	MZ334515	2877987	N/A
12343	MZ334516	2877995	N/A
12344	MZ334517	2878000	N/A
12345	MZ334518	2877992	N/A
12346	MZ334519	2877981	N/A
12347	MZ334520	2877979	N/A
12348	MZ334523	2877988	N/A
12349	MZ334524	2877980	N/A
12350	MZ343158	2851085	N/A
12351	MZ345003	2851082	N/A
12352	MZ348424	2863196	N/A
12353	MZ348425	2859562	N/A
12354	MZ355721	2842057	N/A
12355	MZ355722	2844398	N/A
12356	MZ355723	2844396	N/A
12357	MZ355724	2844393	N/A
12358	MZ355725	2844397	N/A
12359	MZ355726	2844399	N/A
12360	MZ355727	2844394	N/A
12361	MZ355728	2844395	N/A
12362	MZ357096	2851086	N/A
12363	MZ359670	2850656	N/A
12364	MZ361825	2863843	N/A
12365	MZ361826	2863842	N/A
12366	MZ361827	2863844	N/A
12367	MZ364222	2886432	N/A
12368	MZ364223	2886433	N/A
12369	MZ364224	2886434	N/A
12370	MZ364225	2886435	N/A
12371	MZ364226	2886436	N/A
12372	MZ364227	2886437	N/A
12373	MZ364228	2886438	N/A
12374	MZ364229	2886439	N/A
12375	MZ364230	2886440	N/A
12376	MZ364231	2886441	N/A
12377	MZ364232	2886442	N/A
12378	MZ364233	2886443	N/A
12379	MZ364234	2886444	N/A
12380	MZ364235	2886445	N/A
12381	MZ364236	2886446	N/A
12382	MZ364237	2886447	N/A
12383	MZ364238	2886448	N/A
12384	MZ364239	2886449	N/A
12385	MZ364240	2886450	N/A
12386	MZ364241	2886451	N/A
12387	MZ364242	2886452	N/A
12388	MZ364243	2886453	N/A
12389	MZ364244	2886454	N/A
12390	MZ364245	2886455	N/A
12391	MZ364246	2886456	N/A
12392	MZ364247	2886457	N/A
12393	MZ364248	2886458	N/A
12394	MZ364249	2886459	N/A
12395	MZ364250	2886460	N/A
12396	MZ364251	2886461	N/A
12397	MZ364252	2886462	N/A
12398	MZ364253	2886463	N/A
12399	MZ364254	2886464	N/A
12400	MZ364255	2886465	N/A
12401	MZ364256	2886466	N/A
12402	MZ364257	2886467	N/A
12403	MZ364258	2886468	N/A
12404	MZ364259	2886469	N/A
12405	MZ364260	2886470	N/A
12406	MZ364261	2886471	N/A
12407	MZ364262	2886472	N/A
12408	MZ364263	2886473	N/A
12409	MZ364264	2886474	N/A
12410	MZ364265	2886475	N/A
12411	MZ364266	2886476	N/A
12412	MZ364267	2886477	N/A
12413	MZ364268	2886478	N/A
12414	MZ364269	2886479	N/A
12415	MZ364270	2886480	N/A
12416	MZ364271	2886481	N/A
12417	MZ364272	2886482	N/A
12418	MZ364273	2886483	N/A
12419	MZ364274	2886484	N/A
12420	MZ364275	2886485	N/A
12421	MZ364276	2886486	N/A
12422	MZ364277	2886487	N/A
12423	MZ364278	2886488	N/A
12424	MZ364279	2886489	N/A
12425	MZ364280	2886490	N/A
12426	MZ364281	2886491	N/A
12427	MZ364282	2886492	N/A
12428	MZ364283	2886493	N/A
12429	MZ364284	2886494	N/A
12430	MZ364285	2886495	N/A
12431	MZ364286	2886496	N/A
12432	MZ364287	2886497	N/A
12433	MZ364288	2886498	N/A
12434	MZ364289	2886499	N/A
12435	MZ364290	2886500	N/A
12436	MZ364291	2886501	N/A
12437	MZ364292	2886502	N/A
12438	MZ364293	2886503	N/A
12439	MZ364294	2886504	N/A
12440	MZ368140	2851081	N/A
12441	MZ369152	2851083	N/A
12442	MZ375232	2865759	N/A
12443	MZ375754	2851080	N/A
12444	MZ384014	2848982	N/A
12445	MZ388551	2859509	N/A
12446	MZ388552	2859510	N/A
12447	MZ388553	2859511	N/A
12448	MZ388554	2859512	N/A
12449	MZ388555	2859513	N/A
12450	MZ388556	2857500	N/A
12451	MZ398136	2849245	N/A
12452	MZ398242	2860375	N/A
12453	MZ398244	2860373	N/A
