,division,assembly,bioproject,organism_name,infraspecific_name,#assembly_accession,genome_size,fasta_filename,downloaded_filename,query_length,subject_length,blast_output
,1314773,GCA_003711515.1,PRJNA531015,Sodiomyces alkalinus F11,strain=F11,GCF_003711515.1,43450096,Sodiomyces_alkalinus_f11_gca_003711515.Sodal1.dna.toplevel.fa,GCF_003711515.1_Sodal1_genomic.fna.gz, 43450096, 43450096,Sodiomyces_alkalinus_f11_gca_003711515.Sodal1.dna.toplevel.fa_vs_GCF_003711515.1_Sodal1_genomic.fna_blast.xml
,1314785,GCA_001632365.1,PRJNA721992,Laetiporus sulphureus 93-53,strain=93-53,GCF_001632365.1,39909705,Laetiporus_sulphureus_93_53_gca_001632365.Laesu1.dna.toplevel.fa,GCF_001632365.1_Laesu1_genomic.fna.gz, 39909705, 39909705,Laetiporus_sulphureus_93_53_gca_001632365.Laesu1.dna.toplevel.fa_vs_GCF_001632365.1_Laesu1_genomic.fna_blast.xml
,1316194,GCA_001908125.1,PRJNA973687,Penicillium subrubescens,strain=IBT 31985,GCF_028828155.1,39968067,Penicillium_subrubescens_gca_001908125.ASM190812v1.dna.toplevel.fa,GCF_028828155.1_ASM2882815v1_genomic.fna.gz, 39803164, 39995047,Penicillium_subrubescens_gca_001908125.ASM190812v1.dna.toplevel.fa_vs_GCF_028828155.1_ASM2882815v1_genomic.fna_blast.xml
,1316788,GCA_007821495.1,PRJNA576247,Lachnellula hyalina,strain=CBS 185.66,GCF_007821495.1,33828344,Lachnellula_hyalina_gca_007821495.CFIA_Lhya_EG2017.dna.toplevel.fa,GCF_007821495.1_CFIA_Lhya_EG2017_genomic.fna.gz, 33828344, 33828344,Lachnellula_hyalina_gca_007821495.CFIA_Lhya_EG2017.dna.toplevel.fa_vs_GCF_007821495.1_CFIA_Lhya_EG2017_genomic.fna_blast.xml
,132259,GCA_009193445.1,PRJNA602439,Aspergillus pseudotamarii,strain=CBS 117625,GCF_009193445.1,38243929,Aspergillus_pseudotamarii_gca_009193445.Asppset1.dna.toplevel.fa,GCF_009193445.1_Asppset1_genomic.fna.gz, 38243929, 38243929,Aspergillus_pseudotamarii_gca_009193445.Asppset1.dna.toplevel.fa_vs_GCF_009193445.1_Asppset1_genomic.fna_blast.xml
,1328758,GCA_003813185.1,PRJNA1151046,Lentinus tigrinus ALCF2SS1-7,strain=ALCF2SS1-7,GCF_003813185.1,39530113,Lentinus_tigrinus_alcf2ss1_7_gca_003813185.Lenti7_1.dna.toplevel.fa,GCF_003813185.1_Lenti7_1_genomic.fna.gz, 39530113, 39530113,Lentinus_tigrinus_alcf2ss1_7_gca_003813185.Lenti7_1.dna.toplevel.fa_vs_GCF_003813185.1_Lenti7_1_genomic.fna_blast.xml
,1328760,GCA_001619985.1,PRJNA342690,Xylona heveae TC161,strain=TC161,GCF_001619985.1,24337763,Xylona_heveae_tc161_gca_001619985.Xylona_heveae_TC161_v1.0.dna.toplevel.fa,GCF_001619985.1_Xylona_heveae_TC161_v1.0_genomic.fna.gz, 24337763, 24337763,Xylona_heveae_tc161_gca_001619985.Xylona_heveae_TC161_v1.0.dna.toplevel.fa_vs_GCF_001619985.1_Xylona_heveae_TC161_v1.0_genomic.fna_blast.xml
,1340429,GCA_002708625.1,PRJNA430271,Rhizopus microsporus ATCC 52813,strain=ATCC 52813,GCF_002708625.1,25972395,Rhizopus_microsporus_atcc_52813_gca_002708625.Rhimi1_1.dna.toplevel.fa,GCF_002708625.1_Rhimi1_1_genomic.fna.gz, 25972395, 25972395,Rhizopus_microsporus_atcc_52813_gca_002708625.Rhimi1_1.dna.toplevel.fa_vs_GCF_002708625.1_Rhimi1_1_genomic.fna_blast.xml
,1341132,GCA_003344945.1,PRJNA495497,Aspergillus welwitschiae,strain=CBS 139.54b,GCF_003344945.1,37511876,Aspergillus_welwitschiae_gca_003344945.Aspwel1.dna.toplevel.fa,GCF_003344945.1_Aspwel1_genomic.fna.gz, 37511876, 37511876,Aspergillus_welwitschiae_gca_003344945.Aspwel1.dna.toplevel.fa_vs_GCF_003344945.1_Aspwel1_genomic.fna_blast.xml
,1344418,GCA_001661345.1,PRJNA374039,Ascoidea rubescens DSM 1968,strain=DSM 1968,GCF_001661345.1,17503998,Ascoidea_rubescens_dsm_1968_gca_001661345.Ascru1.dna.toplevel.fa,GCF_001661345.1_Ascru1_genomic.fna.gz, 17503998, 17503998,Ascoidea_rubescens_dsm_1968_gca_001661345.Ascru1.dna.toplevel.fa_vs_GCF_001661345.1_Ascru1_genomic.fna_blast.xml
,1354746,GCA_000803265.1,PRJNA302310,Ordospora colligata OC4,strain=OC4,GCF_000803265.1,2290528,Ordospora_colligata_oc4_gca_000803265.ASM80326v1.dna.toplevel.fa,GCF_000803265.1_ASM80326v1_genomic.fna.gz, 2290528, 2290528,Ordospora_colligata_oc4_gca_000803265.ASM80326v1.dna.toplevel.fa_vs_GCF_000803265.1_ASM80326v1_genomic.fna_blast.xml
,1365824,GCA_000497045.1,PRJNA292598,Kalmanozyma brasiliensis GHG001,strain=GHG001,GCF_000497045.1,17325407,Kalmanozyma_brasiliensis_ghg001_gca_000497045.PSEUBRA1.dna.toplevel.fa,GCF_000497045.1_PSEUBRA1_genomic.fna.gz, 17325407, 17325407,Kalmanozyma_brasiliensis_ghg001_gca_000497045.PSEUBRA1.dna.toplevel.fa_vs_GCF_000497045.1_PSEUBRA1_genomic.fna_blast.xml
,1367422,GCA_001651985.1,PRJNA342681,Fonsecaea erecta,strain=CBS 125763,GCF_001651985.1,34747975,Fonsecaea_erecta_gca_001651985.ASM165198v1.dna.toplevel.fa,GCF_001651985.1_ASM165198v1_genomic.fna.gz, 34747975, 34747975,Fonsecaea_erecta_gca_001651985.ASM165198v1.dna.toplevel.fa_vs_GCF_001651985.1_ASM165198v1_genomic.fna_blast.xml
,1380566,GCA_001653235.2,PRJNA342685,Pochonia chlamydosporia 170,na,GCF_001653235.2,44215803,Pochonia_chlamydosporia_170_gca_001653235.ASM165323v2.dna.toplevel.fa,GCF_001653235.2_ASM165323v2_genomic.fna.gz, 44215803, 44215803,Pochonia_chlamydosporia_170_gca_001653235.ASM165323v2.dna.toplevel.fa_vs_GCF_001653235.2_ASM165323v2_genomic.fna_blast.xml
,1382522,GCA_000576695.1,PRJNA264007,Kuraishia capsulata CBS 1993,strain=CBS 1993,GCF_000576695.1,11371246,Kuraishia_capsulata_cbs_1993_gca_000576695.AUH_PRJEB4427_v1.dna.toplevel.fa,GCF_000576695.1_AUH_PRJEB4427_v1_genomic.fna.gz, 11371246, 11371246,Kuraishia_capsulata_cbs_1993_gca_000576695.AUH_PRJEB4427_v1.dna.toplevel.fa_vs_GCF_000576695.1_AUH_PRJEB4427_v1_genomic.fna_blast.xml
,1388766,GCA_000600275.1,PRJNA721986,Aspergillus ruber CBS 135680,strain=CBS 135680,GCF_000600275.1,26209327,Aspergillus_ruber_cbs_135680_gca_000600275.Eurhe1.dna.toplevel.fa,GCF_000600275.1_Eurhe1_genomic.fna.gz, 26209327, 26209327,Aspergillus_ruber_cbs_135680_gca_000600275.Eurhe1.dna.toplevel.fa_vs_GCF_000600275.1_Eurhe1_genomic.fna_blast.xml
,1392243,GCA_010015585.1,PRJNA625771,Eremomyces bilateralis CBS 781.70,strain=CBS 781.70,GCF_010015585.1,26864015,Eremomyces_bilateralis_cbs_781_70_gca_010015585.Erebi1.dna.toplevel.fa,GCF_010015585.1_Erebi1_genomic.fna.gz, 26864015, 26864015,Eremomyces_bilateralis_cbs_781_70_gca_010015585.Erebi1.dna.toplevel.fa_vs_GCF_010015585.1_Erebi1_genomic.fna_blast.xml
,1392245,GCA_010015815.1,PRJNA625770,Dothidotthia symphoricarpi CBS 119687,strain=CBS 119687,GCF_010015815.1,34433519,Dothidotthia_symphoricarpi_cbs_119687_gca_010015815.Dotsy1.dna.toplevel.fa,GCF_010015815.1_Dotsy1_genomic.fna.gz, 34433519, 34433519,Dothidotthia_symphoricarpi_cbs_119687_gca_010015815.Dotsy1.dna.toplevel.fa_vs_GCF_010015815.1_Dotsy1_genomic.fna_blast.xml
,1392248,GCA_002847485.1,PRJNA453590,Aspergillus campestris IBT 28561,strain=IBT 28561,GCF_002847485.1,28257496,Aspergillus_campestris_ibt_28561_gca_002847485.Aspcam1.dna.toplevel.fa,GCF_002847485.1_Aspcam1_genomic.fna.gz, 28257496, 28257496,Aspergillus_campestris_ibt_28561_gca_002847485.Aspcam1.dna.toplevel.fa_vs_GCF_002847485.1_Aspcam1_genomic.fna_blast.xml
,1392250,GCA_002849105.1,PRJNA453591,Aspergillus steynii IBT 23096,strain=IBT 23096,GCF_002849105.1,37847960,Aspergillus_steynii_ibt_23096_gca_002849105.Aspste1.dna.toplevel.fa,GCF_002849105.1_Aspste1_genomic.fna.gz, 37847960, 37847960,Aspergillus_steynii_ibt_23096_gca_002849105.Aspste1.dna.toplevel.fa_vs_GCF_002849105.1_Aspste1_genomic.fna_blast.xml
,1392255,GCA_002847465.1,PRJNA453589,Aspergillus novofumigatus IBT 16806,strain=IBT 16806,GCF_002847465.1,32440129,Aspergillus_novofumigatus_ibt_16806_gca_002847465.Aspnov1.dna.toplevel.fa,GCF_002847465.1_Aspnov1_genomic.fna.gz, 32440129, 32440129,Aspergillus_novofumigatus_ibt_16806_gca_002847465.Aspnov1.dna.toplevel.fa_vs_GCF_002847465.1_Aspnov1_genomic.fna_blast.xml
,1392256,GCA_002846915.2,PRJNA722000,Aspergillus ochraceoroseus IBT 24754,strain=IBT 24754,GCF_002846915.1,27718211,Aspergillus_ochraceoroseus_ibt_24754_gca_002846915.Aspergillus_ochraceoroseus_IBT_24754_v1.1.dna.toplevel.fa,GCF_002846915.1_Aspergillus_ochraceoroseus_IBT_24754_v1.1_genomic.fna.gz, 27718211, 27718211,Aspergillus_ochraceoroseus_ibt_24754_gca_002846915.Aspergillus_ochraceoroseus_IBT_24754_v1.1.dna.toplevel.fa_vs_GCF_002846915.1_Aspergillus_ochraceoroseus_IBT_24754_v1.1_genomic.fna_blast.xml
,1397361,GCA_000961545.1,PRJNA319337,Sporothrix schenckii 1099-18,strain=1099-18,GCF_000961545.1,32375103,Sporothrix_schenckii_1099_18_gca_000961545.S_schenckii_v1.dna.toplevel.fa,GCF_000961545.1_S_schenckii_v1_genomic.fna.gz, 32375103, 32375103,Sporothrix_schenckii_1099_18_gca_000961545.S_schenckii_v1.dna.toplevel.fa_vs_GCF_000961545.1_S_schenckii_v1_genomic.fna_blast.xml
,1398154,GCA_000820605.1,PRJNA721989,Sporothrix brasiliensis 5110,strain=5110,GCF_000820605.1,33205847,Sporothrix_brasiliensis_5110_gca_000820605.S_brasiliensis_5110_v1.dna.toplevel.fa,GCF_000820605.1_S_brasiliensis_5110_v1_genomic.fna.gz, 33205847, 33205847,Sporothrix_brasiliensis_5110_gca_000820605.S_brasiliensis_5110_v1.dna.toplevel.fa_vs_GCF_000820605.1_S_brasiliensis_5110_v1_genomic.fna_blast.xml
,1408163,GCA_000968595.1,PRJNA292605,Rasamsonia emersonii CBS 393.64,strain=CBS 393.64,GCF_000968595.1,28248805,Rasamsonia_emersonii_cbs_393_64_gca_000968595.ASM96859v1.dna.toplevel.fa,GCF_000968595.1_ASM96859v1_genomic.fna.gz, 28248805, 28248805,Rasamsonia_emersonii_cbs_393_64_gca_000968595.ASM96859v1.dna.toplevel.fa_vs_GCF_000968595.1_ASM96859v1_genomic.fna_blast.xml
,1408657,GCA_001477535.1,PRJNA342697,Pneumocystis jirovecii RU7,strain=RU7,GCF_001477535.1,8396240,Pneumocystis_jirovecii_ru7_gca_001477535.Pneu_jiro_RU7_V2.dna.toplevel.fa,GCF_001477535.1_Pneu_jiro_RU7_V2_genomic.fna.gz, 8396240, 8396240,Pneumocystis_jirovecii_ru7_gca_001477535.Pneu_jiro_RU7_V2.dna.toplevel.fa_vs_GCF_001477535.1_Pneu_jiro_RU7_V2_genomic.fna_blast.xml
,1408658,GCA_001477545.1,PRJNA342696,Pneumocystis carinii B80,strain=B80,GCF_001477545.1,7661456,Pneumocystis_carinii_b80_gca_001477545.Pneu_cari_B80_V3.dna.toplevel.fa,GCF_001477545.1_Pneu_cari_B80_V3_genomic.fna.gz, 7661456, 7661456,Pneumocystis_carinii_b80_gca_001477545.Pneu_cari_B80_V3.dna.toplevel.fa_vs_GCF_001477545.1_Pneu_cari_B80_V3_genomic.fna_blast.xml
,1441469,GCA_001907595.1,PRJNA374571,Talaromyces atroroseus,strain=IBT 11181,GCF_001907595.1,30858562,Talaromyces_atroroseus_gca_001907595.ASM190759v1.dna.toplevel.fa,GCF_001907595.1_ASM190759v1_genomic.fna.gz, 30858562, 30858562,Talaromyces_atroroseus_gca_001907595.ASM190759v1.dna.toplevel.fa_vs_GCF_001907595.1_ASM190759v1_genomic.fna_blast.xml
,1442368,GCA_000835455.1,PRJNA292603,Fonsecaea pedrosoi CBS 271.37,strain=CBS 271.37,GCF_000835455.1,34688880,Fonsecaea_pedrosoi_cbs_271_37_gca_000835455.Fons_pedr_CBS_271_37_V1.dna.toplevel.fa,GCF_000835455.1_Fons_pedr_CBS_271_37_V1_genomic.fna.gz, 34688880, 34688880,Fonsecaea_pedrosoi_cbs_271_37_gca_000835455.Fons_pedr_CBS_271_37_V1.dna.toplevel.fa_vs_GCF_000835455.1_Fons_pedr_CBS_271_37_V1_genomic.fna_blast.xml
,1442369,GCA_000835555.1,PRJNA292602,Rhinocladiella mackenziei CBS 650.93,strain=CBS 650.93,GCF_000835555.1,32474431,Rhinocladiella_mackenziei_cbs_650_93_gca_000835555.Rhin_mack_CBS_650_93_V1.dna.toplevel.fa,GCF_000835555.1_Rhin_mack_CBS_650_93_V1_genomic.fna.gz, 32474431, 32474431,Rhinocladiella_mackenziei_cbs_650_93_gca_000835555.Rhin_mack_CBS_650_93_V1.dna.toplevel.fa_vs_GCF_000835555.1_Rhin_mack_CBS_650_93_V1_genomic.fna_blast.xml
,1442370,GCA_000835475.1,PRJNA319323,Cladophialophora bantiana CBS 173.52,strain=CBS 173.52,GCF_000835475.1,36722552,Cladophialophora_bantiana_cbs_173_52_gca_000835475.Clad_bant_CBS_173_52_V1.dna.toplevel.fa,GCF_000835475.1_Clad_bant_CBS_173_52_V1_genomic.fna.gz, 36722552, 36722552,Cladophialophora_bantiana_cbs_173_52_gca_000835475.Clad_bant_CBS_173_52_V1.dna.toplevel.fa_vs_GCF_000835475.1_Clad_bant_CBS_173_52_V1_genomic.fna_blast.xml
,1442371,GCA_000836435.1,PRJNA319325,Fonsecaea multimorphosa CBS 102226,strain=CBS 102226,GCF_000836435.1,33447075,Fonsecaea_multimorphosa_cbs_102226_gca_000836435.Fons_mult_CBS_102226_V1.dna.toplevel.fa,GCF_000836435.1_Fons_mult_CBS_102226_V1_genomic.fna.gz, 33447075, 33447075,Fonsecaea_multimorphosa_cbs_102226_gca_000836435.Fons_mult_CBS_102226_V1.dna.toplevel.fa_vs_GCF_000836435.1_Fons_mult_CBS_102226_V1_genomic.fna_blast.xml
,1448310,GCA_003184625.1,PRJNA479911,Aspergillus neoniger CBS 115656,strain=CBS 115656,GCF_003184625.1,35416444,Aspergillus_neoniger_cbs_115656_gca_003184625.Aspneo1.dna.toplevel.fa,GCF_003184625.1_Aspneo1_genomic.fna.gz, 35416444, 35416444,Aspergillus_neoniger_cbs_115656_gca_003184625.Aspneo1.dna.toplevel.fa_vs_GCF_003184625.1_Aspneo1_genomic.fna_blast.xml
,1448311,GCA_003184925.1,PRJNA479920,Aspergillus vadensis CBS 113365,strain=CBS 113365,GCF_003184925.1,35663374,Aspergillus_vadensis_cbs_113365_gca_003184925.Aspvad1.dna.toplevel.fa,GCF_003184925.1_Aspvad1_genomic.fna.gz, 35663374, 35663374,Aspergillus_vadensis_cbs_113365_gca_003184925.Aspvad1.dna.toplevel.fa_vs_GCF_003184925.1_Aspvad1_genomic.fna_blast.xml
,1448312,GCA_003184785.1,PRJNA479916,Aspergillus japonicus CBS 114.51,strain=CBS 114.51,GCF_003184785.1,36099954,Aspergillus_japonicus_cbs_114_51_gca_003184785.Aspjap1.dna.toplevel.fa,GCF_003184785.1_Aspjap1_genomic.fna.gz, 36099954, 36099954,Aspergillus_japonicus_cbs_114_51_gca_003184785.Aspjap1.dna.toplevel.fa_vs_GCF_003184785.1_Aspjap1_genomic.fna_blast.xml
,1448313,GCA_003184755.1,PRJNA479914,Aspergillus piperis CBS 112811,strain=CBS 112811,GCF_003184755.1,35280331,Aspergillus_piperis_cbs_112811_gca_003184755.Asppip1.dna.toplevel.fa,GCF_003184755.1_Asppip1_genomic.fna.gz, 35280331, 35280331,Aspergillus_piperis_cbs_112811_gca_003184755.Asppip1.dna.toplevel.fa_vs_GCF_003184755.1_Asppip1_genomic.fna_blast.xml
,1448314,GCA_003184535.1,PRJNA479907,Aspergillus eucalypticola CBS 122712,strain=CBS 122712,GCF_003184535.1,34792412,Aspergillus_eucalypticola_cbs_122712_gca_003184535.Aspeuc1.dna.toplevel.fa,GCF_003184535.1_Aspeuc1_genomic.fna.gz, 34792412, 34792412,Aspergillus_eucalypticola_cbs_122712_gca_003184535.Aspeuc1.dna.toplevel.fa_vs_GCF_003184535.1_Aspeuc1_genomic.fna_blast.xml
,1448315,GCA_003184745.1,PRJNA479913,Aspergillus uvarum CBS 121591,strain=CBS 121591,GCF_003184745.1,35850703,Aspergillus_uvarum_cbs_121591_gca_003184745.Aspuva1.dna.toplevel.fa,GCF_003184745.1_Aspuva1_genomic.fna.gz, 35850703, 35850703,Aspergillus_uvarum_cbs_121591_gca_003184745.Aspuva1.dna.toplevel.fa_vs_GCF_003184745.1_Aspuva1_genomic.fna_blast.xml
,1448316,GCA_003184845.1,PRJNA479918,Aspergillus ibericus CBS 121593,strain=CBS 121593,GCF_003184845.1,33437983,Aspergillus_ibericus_cbs_121593_gca_003184845.Aspibe1.dna.toplevel.fa,GCF_003184845.1_Aspibe1_genomic.fna.gz, 33437983, 33437983,Aspergillus_ibericus_cbs_121593_gca_003184845.Aspibe1.dna.toplevel.fa_vs_GCF_003184845.1_Aspibe1_genomic.fna_blast.xml
,1448317,GCA_003184835.1,PRJNA479917,Aspergillus costaricaensis CBS 115574,strain=CBS 115574,GCF_003184835.1,36947918,Aspergillus_costaricaensis_cbs_115574_gca_003184835.Aspcos1.dna.toplevel.fa,GCF_003184835.1_Aspcos1_genomic.fna.gz, 36947918, 36947918,Aspergillus_costaricaensis_cbs_115574_gca_003184835.Aspcos1.dna.toplevel.fa_vs_GCF_003184835.1_Aspcos1_genomic.fna_blast.xml
,1448319,GCA_003184825.1,PRJNA722001,Aspergillus fijiensis CBS 313.89,strain=CBS 313.89,GCF_003184825.1,36513906,Aspergillus_fijiensis_cbs_313_89_gca_003184825.Aspfij1.dna.toplevel.fa,GCF_003184825.1_Aspfij1_genomic.fna.gz, 36513906, 36513906,Aspergillus_fijiensis_cbs_313_89_gca_003184825.Aspfij1.dna.toplevel.fa_vs_GCF_003184825.1_Aspfij1_genomic.fna_blast.xml
,1448321,GCA_003184545.1,PRJNA479908,Aspergillus heteromorphus CBS 117.55,strain=CBS 117.55,GCF_003184545.1,35607567,Aspergillus_heteromorphus_cbs_117_55_gca_003184545.Asphet1.dna.toplevel.fa,GCF_003184545.1_Asphet1_genomic.fna.gz, 35607567, 35607567,Aspergillus_heteromorphus_cbs_117_55_gca_003184545.Asphet1.dna.toplevel.fa_vs_GCF_003184545.1_Asphet1_genomic.fna_blast.xml
,1448322,GCA_003184765.1,PRJNA479915,Aspergillus aculeatinus CBS 121060,strain=CBS 121060,GCF_003184765.1,36471649,Aspergillus_aculeatinus_cbs_121060_gca_003184765.Aspacu1.dna.toplevel.fa,GCF_003184765.1_Aspacu1_genomic.fna.gz, 36471649, 36471649,Aspergillus_aculeatinus_cbs_121060_gca_003184765.Aspacu1.dna.toplevel.fa_vs_GCF_003184765.1_Aspacu1_genomic.fna_blast.xml
,1450172,GCA_010015735.1,PRJNA625762,Aaosphaeria arxii CBS 175.79,strain=CBS 175.79,GCF_010015735.1,38901049,Aaosphaeria_arxii_cbs_175_79_gca_010015735.Aaoar1.dna.toplevel.fa,GCF_010015735.1_Aaoar1_genomic.fna.gz, 38901049, 38901049,Aaosphaeria_arxii_cbs_175_79_gca_010015735.Aaoar1.dna.toplevel.fa_vs_GCF_010015735.1_Aaoar1_genomic.fna_blast.xml
,1450533,GCA_003184595.1,PRJNA479910,Aspergillus niger CBS 101883,strain=CBS 101883,GCF_003184595.1,35853610,Aspergillus_niger_cbs_101883_gca_003184595.Asplac1.dna.toplevel.fa,GCF_003184595.1_Asplac1_genomic.fna.gz, 35853610, 35853610,Aspergillus_niger_cbs_101883_gca_003184595.Asplac1.dna.toplevel.fa_vs_GCF_003184595.1_Asplac1_genomic.fna_blast.xml
,1450534,GCA_003184695.1,PRJNA479912,Aspergillus brunneoviolaceus CBS 621.78,strain=CBS 621.78,GCF_003184695.1,37477200,Aspergillus_brunneoviolaceus_cbs_621_78_gca_003184695.Aspbru1.dna.toplevel.fa,GCF_003184695.1_Aspbru1_genomic.fna.gz, 37477200, 37477200,Aspergillus_brunneoviolaceus_cbs_621_78_gca_003184695.Aspbru1.dna.toplevel.fa_vs_GCF_003184695.1_Aspbru1_genomic.fna_blast.xml
,1450535,GCA_003184525.1,PRJNA479906,Aspergillus sclerotioniger CBS 115572,strain=CBS 115572,GCF_003184525.1,36720365,Aspergillus_sclerotioniger_cbs_115572_gca_003184525.Aspscl1.dna.toplevel.fa,GCF_003184525.1_Aspscl1_genomic.fna.gz, 36720365, 36720365,Aspergillus_sclerotioniger_cbs_115572_gca_003184525.Aspscl1.dna.toplevel.fa_vs_GCF_003184525.1_Aspscl1_genomic.fna_blast.xml
,1450537,GCA_003184865.1,PRJNA479919,Aspergillus homomorphus CBS 101889,strain=CBS 101889,GCF_003184865.1,34054866,Aspergillus_homomorphus_cbs_101889_gca_003184865.Asphom1.dna.toplevel.fa,GCF_003184865.1_Asphom1_genomic.fna.gz, 34054866, 34054866,Aspergillus_homomorphus_cbs_101889_gca_003184865.Asphom1.dna.toplevel.fa_vs_GCF_003184865.1_Asphom1_genomic.fna_blast.xml
,1450539,GCA_003184585.1,PRJNA479909,Aspergillus saccharolyticus JOP 1030-1,strain=JOP 1030-1,GCF_003184585.1,31096189,Aspergillus_saccharolyticus_jop_1030_1_gca_003184585.Aspsac1.dna.toplevel.fa,GCF_003184585.1_Aspsac1_genomic.fna.gz, 31096189, 31096189,Aspergillus_saccharolyticus_jop_1030_1_gca_003184585.Aspsac1.dna.toplevel.fa_vs_GCF_003184585.1_Aspsac1_genomic.fna_blast.xml
,1460663,GCA_001642045.1,PRJNA342679,Paraphaeosphaeria sporulosa,strain=AP3s5-JAC2a,GCF_001642045.1,38464024,Paraphaeosphaeria_sporulosa_gca_001642045.Parsp1.dna.toplevel.fa,GCF_001642045.1_Parsp1_genomic.fna.gz, 38464024, 38464024,Paraphaeosphaeria_sporulosa_gca_001642045.Parsp1.dna.toplevel.fa_vs_GCF_001642045.1_Parsp1_genomic.fna_blast.xml
,149040,GCA_001500285.1,PRJNA342682,Mollisia scopiformis,strain=CBS 120377,GCF_001500285.1,48876257,Phialocephala_scopiformis_gca_001500285.Phisc1.dna.toplevel.fa,GCF_001500285.1_Phisc1_genomic.fna.gz, 48876257, 48876257,Phialocephala_scopiformis_gca_001500285.Phisc1.dna.toplevel.fa_vs_GCF_001500285.1_Phisc1_genomic.fna_blast.xml
,1506151,GCA_009193645.1,PRJNA602443,Aspergillus pseudonomiae,strain=CBS 119388,GCF_009193645.1,37780514,Aspergillus_pseudonomius_gca_009193645.Asppsen1.dna.toplevel.fa,GCF_009193645.1_Asppsen1_genomic.fna.gz, 37780514, 37780514,Aspergillus_pseudonomius_gca_009193645.Asppsen1.dna.toplevel.fa_vs_GCF_009193645.1_Asppsen1_genomic.fna_blast.xml
,1506151,GCA_009176395.1,PRJNA602443,Aspergillus pseudonomiae,strain=CBS 119388,GCF_009193645.1,37780514,Aspergillus_pseudonomius_gca_009176395.Asppse1.dna.toplevel.fa,GCF_009193645.1_Asppsen1_genomic.fna.gz, 36713177, 37780514,Aspergillus_pseudonomius_gca_009176395.Asppse1.dna.toplevel.fa_vs_GCF_009193645.1_Asppsen1_genomic.fna_blast.xml
,1522189,GCA_003144195.1,PRJNA479902,Ceraceosorus guamensis,strain=MCA 4658,GCF_003144195.1,24148100,Ceraceosorus_guamensis_gca_003144195.Cersp1.dna.toplevel.fa,GCF_003144195.1_Cersp1_genomic.fna.gz, 24148100, 24148100,Ceraceosorus_guamensis_gca_003144195.Cersp1.dna.toplevel.fa_vs_GCF_003144195.1_Cersp1_genomic.fna_blast.xml
,156630,GCA_004154815.1,PRJNA531023,Alternaria arborescens,strain=FERA 675,GCF_004154835.1,33943449,Alternaria_arborescens_gca_004154815.ASM415481v1.dna.toplevel.fa,GCF_004154835.1_ASM415483v1_genomic.fna.gz, 33774152, 33943449,Alternaria_arborescens_gca_004154815.ASM415481v1.dna.toplevel.fa_vs_GCF_004154835.1_ASM415483v1_genomic.fna_blast.xml
,156630,GCA_004154835.1,PRJNA531023,Alternaria arborescens,strain=FERA 675,GCF_004154835.1,33943449,Alternaria_arborescens_gca_004154835.ASM415483v1.dna.toplevel.fa,GCF_004154835.1_ASM415483v1_genomic.fna.gz, 33943449, 33943449,Alternaria_arborescens_gca_004154835.ASM415483v1.dna.toplevel.fa_vs_GCF_004154835.1_ASM415483v1_genomic.fna_blast.xml
,156630,GCA_004155955.1,PRJNA531023,Alternaria arborescens,strain=FERA 675,GCF_004154835.1,33943449,Alternaria_arborescens_gca_004155955.ASM415595v1.dna.toplevel.fa,GCF_004154835.1_ASM415483v1_genomic.fna.gz, 33803556, 33943449,Alternaria_arborescens_gca_004155955.ASM415595v1.dna.toplevel.fa_vs_GCF_004154835.1_ASM415483v1_genomic.fna_blast.xml
,1569628,GCA_003144245.1,PRJNA479904,Jaminaea rosea,strain=MCA 5214,GCF_003144245.1,16615586,Jaminaea_rosea_gca_003144245.Jamsp1.dna.toplevel.fa,GCF_003144245.1_Jamsp1_genomic.fna.gz, 16615586, 16615586,Jaminaea_rosea_gca_003144245.Jamsp1.dna.toplevel.fa_vs_GCF_003144245.1_Jamsp1_genomic.fna_blast.xml
,1664694,GCA_001299255.1,PRJNA309727,Cyphellophora attinorum,strain=CBS 131958,GCF_001299255.1,30363635,Phialophora_attinorum_gca_001299255.ASM129925v1.dna.toplevel.fa,GCF_001299255.1_ASM129925v1_genomic.fna.gz, 30363635, 30363635,Phialophora_attinorum_gca_001299255.ASM129925v1.dna.toplevel.fa_vs_GCF_001299255.1_ASM129925v1_genomic.fna_blast.xml
,1684307,GCA_003144135.1,PRJNA479901,Pseudomicrostroma glucosiphilum,strain=MCA 4718,GCF_003144135.1,17184282,Pseudomicrostroma_glucosiphilum_gca_003144135.Rhodsp1.dna.toplevel.fa,GCF_003144135.1_Rhodsp1_genomic.fna.gz, 17184282, 17184282,Pseudomicrostroma_glucosiphilum_gca_003144135.Rhodsp1.dna.toplevel.fa_vs_GCF_003144135.1_Rhodsp1_genomic.fna_blast.xml
,1805483,GCA_001642395.1,PRJNA1151049,Nematocida displodere,strain=JUm2807,GCF_001642395.1,3066400,Nematocida_displodere_gca_001642395.ASM164239v1.dna.toplevel.fa,GCF_001642395.1_ASM164239v1_genomic.fna.gz, 3066400, 3066400,Nematocida_displodere_gca_001642395.ASM164239v1.dna.toplevel.fa_vs_GCF_001642395.1_ASM164239v1_genomic.fna_blast.xml
